dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.642332;1275.37;2.45654;1014.09;10.0;0.24565399999999998
5;500000;0;0.7668;1324.76;2.11851;1021.81;7.0;0.30264428571428575
6;500000;0;0.880992;1376.21;1.80493;1023.25;5.0;0.360986
7;500000;0;0.9908;1422.13;1.67466;1025.91;4.0;0.418665
8;500000;0;1.11251;1443.28;1.90452;1028.38;4.0;0.47613
9;500000;0;1.22914;1466.29;1.60267;1029.1;3.0;0.5342233333333334
10;500000;0;1.36258;1466.99;1.77267;1032.18;3.0;0.59089
11;500000;0;1.66409;1319.33;2.17505;924.166;3.0;0.7250166666666668
12;500000;0;1.80762;1323.34;2.33366;938.655;3.0;0.7778866666666667
13;500000;0;1.89111;1368.89;2.51134;944.077;3.0;0.8371133333333334
14;500000;0;2.02896;1372.79;1.8825;903.511;2.0;0.94125
15;500000;0;2.11228;1411.71;1.88522;965.997;2.0;0.94261
16;500000;0;2.25968;1406.63;2.09157;928.197;2.0;1.045785
17;500000;0;2.30509;1464.22;2.15573;956.357;2.0;1.077865
18;500000;0;2.43476;1466.99;2.34657;929.828;2.0;1.173285
19;500000;0;2.52717;1491.15;2.35493;977.596;2.0;1.177465
20;500000;0;2.68345;1477.57;2.52857;958.025;2.0;1.264285
21;500000;0;2.82496;1473.16;2.59138;981.213;2.0;1.29569
22;500000;0;2.89654;1504.63;2.80605;949.006;2.0;1.403025
23;500000;0;3.02366;1506.39;2.79323;996.417;2.0;1.396615
24;500000;0;3.18426;1492.16;3.05148;951.502;2.0;1.52574
25;500000;0;3.24376;1525.4;3.01306;1003.55;2.0;1.50653
26;500000;0;3.42152;1503.62;3.14927;998.332;2.0;1.574635
27;500000;0;3.4895;1530.67;3.23144;1010.16;2.0;1.61572
28;500000;0;3.57045;1551.03;3.23255;1047.02;2.0;1.616275
29;500000;0;3.6978;1550.79;3.32202;1055.02;2.0;1.66101
30;500000;0;3.8317;1547.9;3.43779;1054.47;2.0;1.718895
31;500000;0;3.93295;1558.04;3.48251;1075.47;2.0;1.741255
32;500000;0;4.19871;1506.25;5.80395;999.041;3.0;1.9346500000000002
33;500000;0;4.12458;1580.99;5.48735;1089.56;3.0;1.8291166666666667
34;500000;0;4.32963;1551.53;4.03956;1016.48;2.0;2.01978
35;500000;0;4.49365;1538.65;3.99083;1059.02;2.0;1.995415
36;500000;0;4.52682;1570.81;3.89955;1114.65;2.0;1.949775
37;500000;0;4.62446;1580.16;4.01286;1113.15;2.0;2.00643
38;500000;0;4.7423;1582.35;4.27424;1073.21;2.0;2.13712
39;500000;0;4.94749;1556.46;4.2535;1106.72;2.0;2.12675
40;500000;0;5.06733;1558.46;4.74144;1018.19;2.0;2.37072
41;500000;0;5.15402;1570.39;4.62746;1069.26;2.0;2.31373
42;500000;0;5.19605;1595.52;4.5832;1105.82;2.0;2.2916
43;500000;0;5.44114;1559.79;4.71689;1099.98;2.0;2.358445
44;500000;0;5.45291;1592.48;4.78844;1108.66;2.0;2.39422
45;500000;0;5.62443;1578.87;4.88522;1111.31;2.0;2.44261
46;500000;0;5.36359;1692.31;5.03523;1102.09;2.0;2.517615
47;500000;0;5.51835;1680.48;5.14347;1102.28;2.0;2.571735
48;500000;0;5.66481;1671.74;5.24876;1103.08;2.0;2.62438
49;500000;0;5.61028;1723.04;5.27176;1121.08;2.0;2.63588
50;500000;0;6.45865;1527.15;5.39281;1118.21;2.0;2.696405
51;500000;0;6.57257;1530.59;5.60895;1096.56;2.0;2.804475
52;500000;0;6.71428;1527.57;6.23997;1004.95;2.0;3.119985
53;500000;0;7.03737;1485.38;5.89602;1083.97;2.0;2.94801
54;500000;0;6.92537;1537.79;6.74898;964.793;2.0;3.37449
55;500000;0;7.07124;1533.87;6.53083;1015.44;2.0;3.265415
56;500000;0;6.88468;1603.99;6.9552;970.769;2.0;3.4776
57;500000;0;6.99642;1606.48;6.1792;1112.14;2.0;3.0896
58;500000;0;7.17449;1594.01;6.33122;1104.43;2.0;3.16561
59;500000;0;7.32662;1587.75;6.51911;1091.05;2.0;3.259555
60;500000;0;7.37361;1604.29;7.49174;965.456;2.0;3.74587
61;500000;0;7.54662;1593.57;6.74374;1090.38;2.0;3.37187
62;500000;0;7.67112;1593.33;6.63614;1126.18;2.0;3.31807
63;500000;0;7.59683;1634.79;7.84386;968.112;2.0;3.92193
