dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;0.555956;4.69911;0.190583;0.093054
5;500000;0;0.631152;8.61995;0.1615;0.329554
6;500000;0;0.699374;14.4165;0.180002;0.709553
7;500000;0;0.76487;22.4594;0.198062;1.2893
8;500000;0;0.886094;30.995;0.216472;2.64712
9;500000;0;0.966357;43.2268;0.198242;5.95923
10;500000;0;0.985384;61.9357;0.217578;7.83953
11;500000;0;0.937422;92.021;0.210133;14.7675
12;500000;0;1.06524;111.325;0.220216;24.4467
13;500000;0;1.01373;157.068;0.230273;38.9512
14;500000;0;1.18102;177.374;0.261142;55.2621
15;500000;0;1.20115;225.426;0.254435;59.0159
16;500000;0;1.41247;243.964;0.281541;81.0447
17;500000;0;1.62113;266.819;0.33778;100.245
18;500000;0;1.50084;357.357;0.340284;144.578
19;500000;0;1.76535;372.584;0.405252;173.067
20;500000;0;1.72819;462.136;0.428187;229.54
21;500000;0;1.83711;523.143;0.549529;246.772
22;500000;0;2.00552;571.951;0.597019;308.981
23;500000;0;2.32856;583.535;0.649742;381.217
24;500000;0;2.50428;638.329;0.902384;364.194
25;500000;0;3.02976;616.782;1.05729;407.911
26;500000;0;2.82244;769.442;1.15283;485.967
27;500000;0;3.32497;754.93;1.56767;459.867
28;500000;0;3.47475;830.737;1.76651;520.561
29;500000;0;4.97789;663.717;2.45936;473.053
30;500000;0;4.31287;872.944;2.58185;565.743
31;500000;0;5.8383;731.803;3.39406;536.456
32;500000;0;5.3445;903.682;5.47163;618.027
33;500000;0;5.89027;923.516;8.10794;513.148
34;500000;0;7.18334;849.997;9.24983;550.118
35;500000;0;9.09768;750.876;11.6476;531.302
36;500000;0;8.07538;943.536;8.5186;585.862
37;500000;0;10.8753;779.185;9.87875;608.061
38;500000;0;10.2948;912.915;11.4878;626.352
39;500000;0;11.4046;911.586;15.1506;566.318
