dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;1.40824;581.726;4.99832;498.399;10.0;0.49983199999999994
5;500000;0;1.56019;651.088;4.4;491.984;7.0;0.6285714285714287
6;500000;0;1.66872;726.568;3.77334;489.458;5.0;0.754668
7;500000;0;1.86177;756.831;3.34527;513.573;4.0;0.8363175
8;500000;0;2.01916;795.211;3.87865;504.961;4.0;0.9696625
9;500000;0;2.27309;792.872;3.26256;505.528;3.0;1.08752
10;500000;0;2.41789;826.704;3.60737;507.215;3.0;1.2024566666666667
11;500000;0;2.59753;845.222;3.75178;535.775;3.0;1.2505933333333334
12;500000;0;2.63064;909.324;4.3169;507.425;3.0;1.4389666666666667
13;500000;0;2.87325;900.969;4.36614;543.018;3.0;1.45538
14;500000;0;3.31696;839.723;3.36504;505.45;2.0;1.68252
15;500000;0;3.4439;865.86;3.36422;541.32;2.0;1.68211
16;500000;0;3.60308;882.175;3.78204;513.317;2.0;1.89102
17;500000;0;4.37376;771.682;3.73848;551.466;2.0;1.86924
18;500000;0;3.90904;913.719;4.18868;520.906;2.0;2.09434
19;500000;0;5.1621;730.009;4.12938;557.511;2.0;2.06469
20;500000;0;4.29803;922.514;4.5288;534.895;2.0;2.2644
21;500000;0;4.33339;960.356;4.5535;558.405;2.0;2.27675
22;500000;0;4.69942;927.394;5.01619;530.874;2.0;2.508095
23;500000;0;5.98789;760.672;4.91399;566.387;2.0;2.456995
24;500000;0;4.95651;958.625;5.39814;537.868;2.0;2.69907
25;500000;0;6.43906;768.442;5.94686;508.461;2.0;2.97343
26;500000;0;5.6055;917.787;5.81827;540.368;2.0;2.909135
27;500000;0;5.41403;986.56;6.3316;515.553;2.0;3.1658
28;500000;0;5.63745;982.337;6.17053;548.5;2.0;3.085265
29;500000;0;7.3328;782.033;6.76569;518.025;2.0;3.382845
30;500000;0;5.84448;1014.82;6.54076;554.227;2.0;3.27038
31;500000;0;7.4132;826.594;6.821;549.088;2.0;3.4105
32;500000;0;6.51768;970.333;9.97858;581.083;3.0;3.326193333333333
33;500000;0;6.40606;1017.93;10.8721;549.917;3.0;3.624033333333333
34;500000;0;7.10908;944.925;7.19488;570.699;2.0;3.59744
35;500000;0;8.51762;811.747;7.66463;551.413;2.0;3.832315
36;500000;0;7.20506;986.913;7.65838;567.566;2.0;3.82919
37;500000;0;9.28241;787.228;8.24949;541.476;2.0;4.124745
38;500000;0;7.80868;960.98;7.866;583.164;2.0;3.933
39;500000;0;7.38209;1043.15;8.42806;558.542;2.0;4.21403
40;500000;0;6.99418;1129.11;8.43051;572.645;2.0;4.215255
41;500000;0;9.10762;888.687;9.09099;544.27;2.0;4.545495
42;500000;0;7.71555;1074.51;8.43212;601.061;2.0;4.21606
43;500000;0;10.3931;816.605;9.01231;575.71;2.0;4.506155
44;500000;0;7.99348;1086.34;8.7936;603.705;2.0;4.3968
45;500000;0;8.44116;1052.02;9.23888;587.626;2.0;4.61944
46;500000;0;9.66857;938.802;9.1853;604.146;2.0;4.59265
47;500000;0;10.6185;873.335;10.1242;559.997;2.0;5.0621
48;500000;0;8.34097;1135.37;9.55788;605.761;2.0;4.77894
49;500000;0;11.7214;824.703;10.1283;583.519;2.0;5.06415
50;500000;0;11.1833;881.968;9.96904;604.904;2.0;4.98452
51;500000;0;10.6246;946.85;11.3309;542.813;2.0;5.66545
52;500000;0;10.2472;1000.91;10.6659;587.933;2.0;5.33295
53;500000;0;14.2587;733.106;11.4782;556.805;2.0;5.7391
54;500000;0;11.0909;960.223;11.3958;571.381;2.0;5.6979
55;500000;0;13.4096;808.853;11.526;575.364;2.0;5.763
56;500000;0;10.4099;1060.81;12.1048;557.785;2.0;6.0524
57;500000;0;11.1053;1012.09;12.0592;569.87;2.0;6.0296
58;500000;0;13.311;859.154;12.0417;580.684;2.0;6.02085
59;500000;0;13.8122;842.214;12.6037;564.332;2.0;6.30185
60;500000;0;12.3054;961.317;12.6677;570.975;2.0;6.33385
61;500000;0;14.2518;843.825;13.6771;537.63;2.0;6.83855
62;500000;0;14.0907;867.425;12.6807;589.357;2.0;6.34035
63;500000;0;12.4547;997.156;14.1552;536.461;2.0;7.0776
