dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;1.44225;568.01;5.00843;497.393
5;500000;0;1.62044;626.882;4.41249;490.591
6;500000;0;1.75477;690.937;3.75956;491.253
7;500000;0;1.91818;734.573;3.37847;508.525
8;500000;0;2.14845;747.355;3.91806;499.881
9;500000;0;2.29391;785.675;3.31471;497.576
10;500000;0;2.44402;817.863;3.78327;483.632
11;500000;0;2.5561;858.923;3.75547;535.248
12;500000;0;2.6205;912.842;4.32874;506.036
13;500000;0;2.86304;904.183;4.4014;538.669
14;500000;0;3.3328;835.73;3.36809;504.992
15;500000;0;3.4638;860.884;3.34663;544.166
16;500000;0;3.62519;876.794;3.79527;511.527
17;500000;0;4.38412;769.858;3.74064;551.149
18;500000;0;3.97642;898.237;4.1966;519.923
19;500000;0;5.30749;710.011;4.18092;550.638
20;500000;0;4.37416;906.458;4.57802;529.145
21;500000;0;4.35931;954.646;4.6049;552.172
22;500000;0;4.69403;928.457;5.02241;530.216
23;500000;0;6.02029;756.579;4.93573;563.893
24;500000;0;5.00963;948.459;5.41222;536.469
25;500000;0;6.44593;767.623;5.95416;507.839
26;500000;0;5.66092;908.803;5.87323;535.312
27;500000;0;5.46721;976.964;6.32718;515.913
28;500000;0;5.65948;978.514;6.27658;539.233
29;500000;0;7.35669;779.493;6.80107;515.33
30;500000;0;6.04168;981.697;6.43482;563.351
31;500000;0;7.45073;822.431;6.80152;550.66
32;500000;0;6.5499;965.561;9.97509;581.286
33;500000;0;6.41789;1016.06;10.8734;549.852
34;500000;0;7.14527;940.138;7.23814;567.289
35;500000;0;8.56188;807.551;7.6804;550.281
36;500000;0;7.15863;993.314;7.79354;557.724
37;500000;0;9.29124;786.48;8.12882;549.514
38;500000;0;7.82112;959.452;7.92254;579.002
39;500000;0;7.47044;1030.81;8.65606;543.83
