dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;0.172314;15.1613;0.298187;0.0594745
5;500000;0;0.199434;27.2797;0.0908972;0.585528
6;500000;0;0.233917;43.1029;0.104361;1.22383
7;500000;0;0.268387;64.0064;0.118669;2.15187
8;500000;0;0.301014;91.2401;0.13426;4.26804
9;500000;0;0.331465;126.024;0.149879;7.88217
10;500000;0;0.369687;165.087;0.164276;10.3832
11;500000;0;0.398192;216.636;0.188221;16.4867
12;500000;0;0.437466;271.081;0.198001;27.1895
13;500000;0;0.469445;339.176;0.218332;41.0815
14;500000;0;0.512783;408.521;0.180481;79.9598
15;500000;0;0.58084;466.17;0.227729;65.9367
16;500000;0;0.632319;544.966;0.201029;113.503
17;500000;0;0.647094;668.448;0.23732;142.68
18;500000;0;0.687341;780.303;0.267188;184.13
19;500000;0;0.723893;908.618;0.399537;175.543
20;500000;0;0.762675;1047.18;0.355736;276.29
21;500000;0;0.786301;1222.27;0.413892;327.642
22;500000;0;0.887585;1292.34;0.61149;301.668
23;500000;0;0.91085;1491.79;0.740839;334.341
24;500000;0;1.26996;1258.74;0.853196;385.191
25;500000;0;1.34439;1389.99;0.995122;433.393
26;500000;0;1.63605;1327.41;1.47666;379.395
27;500000;0;1.76836;1419.46;1.99034;362.209
28;500000;0;1.84566;1563.99;1.94387;473.063
29;500000;0;1.98796;1661.96;2.82865;411.293
30;500000;0;2.3413;1608.03;3.00269;486.452
31;500000;0;2.36098;1809.63;4.41622;412.29
32;500000;0;3.35897;1437.86;6.56572;515.042
33;500000;0;2.94445;1847.47;9.10497;456.956
34;500000;0;3.24837;1879.66;11.2587;451.96
35;500000;0;3.56688;1915.19;13.9502;443.608
36;500000;0;4.03702;1887.38;9.21996;541.296
37;500000;0;4.22617;2005.1;11.615;517.167
38;500000;0;4.71731;1992.3;17.2286;417.645
39;500000;0;5.18646;2004.5;17.2774;496.607
