dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.187222;13.954;0.354176;0.0500725;7.0;0.05059657142857143
5;500000;0;0.21251;25.6012;0.11063;0.48109;6.0;0.018438333333333334
6;500000;0;0.249595;40.3955;0.125213;1.02003;5.0;0.025042599999999998
7;500000;0;0.280794;61.1784;0.138931;1.83804;4.0;0.03473275
8;500000;0;0.321547;85.4136;0.153082;3.74327;4.0;0.0382705
9;500000;0;0.351367;118.886;0.169994;6.94949;4.0;0.0424985
10;500000;0;0.385844;158.174;0.185227;9.20874;3.0;0.06174233333333334
11;500000;0;0.417346;206.693;0.210826;14.7189;3.0;0.07027533333333334
12;500000;0;0.462386;256.471;0.224104;24.0226;3.0;0.07470133333333333
13;500000;0;0.505612;314.914;0.247917;36.1792;3.0;0.082639
14;500000;0;0.534543;391.891;0.20564;70.1772;3.0;0.06854666666666666
15;500000;0;0.599476;451.679;0.252562;59.4535;2.0;0.126281
16;500000;0;0.650412;529.806;0.22232;102.633;2.0;0.11116
17;500000;0;0.669953;645.64;0.263992;128.264;2.0;0.131996
18;500000;0;0.712683;752.557;0.287116;171.35;2.0;0.143558
19;500000;0;0.746734;880.826;0.418286;167.675;2.0;0.209143
20;500000;0;0.787532;1014.13;0.373034;263.478;2.0;0.186517
21;500000;0;0.815846;1178.01;0.432086;313.846;2.0;0.216043
22;500000;0;0.906319;1265.62;0.634546;290.707;2.0;0.317273
23;500000;0;0.93945;1446.37;0.767782;322.608;2.0;0.383891
24;500000;0;1.30407;1225.81;0.879233;373.784;2.0;0.4396165
25;500000;0;1.36296;1371.06;1.01176;426.268;2.0;0.50588
26;500000;0;1.66748;1302.39;1.50541;372.149;2.0;0.752705
27;500000;0;1.80186;1393.07;2.01745;357.342;2.0;1.008725
28;500000;0;1.8695;1544.05;1.98432;463.421;2.0;0.99216
29;500000;0;2.03006;1627.5;2.86027;406.747;2.0;1.430135
30;500000;0;2.37374;1586.06;3.03201;481.747;2.0;1.516005
31;500000;0;2.38248;1793.29;4.45136;409.035;2.0;2.22568
32;500000;0;3.39099;1424.28;6.59581;512.692;3.0;2.1986033333333332
33;500000;0;2.98253;1823.88;9.1417;455.12;3.0;3.0472333333333332
34;500000;0;3.27802;1862.65;11.2858;450.875;3.0;3.7619333333333334
35;500000;0;3.58839;1903.7;13.9694;442.999;3.0;4.656466666666667
36;500000;0;4.07006;1872.06;9.25111;539.474;2.0;4.625555
37;500000;0;4.2748;1982.29;11.6545;515.412;2.0;5.82725
38;500000;0;4.76744;1971.35;17.2739;416.548;2.0;8.63695
39;500000;0;5.24273;1982.99;17.2984;496.003;2.0;8.6492
40;500000;0;8.15239;1407.16;20.8844;487.783;2.0;10.4422
41;500000;0;7.96101;1586.29;21.7099;554.835;2.0;10.85495
42;500000;0;8.85313;1566.75;28.8576;491.622;2.0;14.4288
43;500000;0;15.3188;992.384;31.0989;535.293;2.0;15.54945
44;500000;0;12.8898;1289.96;39.7508;489.647;2.0;19.8754
45;500000;0;11.0379;1644.37;47.6159;476.307;2.0;23.80795
46;500000;0;10.7895;1832.86;56.8491;463.345;2.0;28.42455
47;500000;0;12.5008;1720.53;56.0665;543.941;2.0;28.03325
48;500000;0;12.5062;1867.18;71.098;495.132;2.0;35.549
49;500000;0;14.8441;1705.11;83.2759;486.551;2.0;41.63795
50;500000;0;14.7327;1859.21;90.4628;514.097;2.0;45.2314
51;500000;0;28.0513;1055.11;103.465;514.553;2.0;51.7325
52;500000;0;28.2666;1129.73;117.56;517.086;2.0;58.78
53;500000;0;23.8107;1444.98;191.782;361.027;2.0;95.891
54;500000;0;32.7262;1131.17;160.985;488.716;2.0;80.4925
55;500000;0;36.9411;1076.8;177.978;501.157;2.0;88.989
56;500000;0;39.618;1077.51;203.162;496.631;2.0;101.581
57;500000;0;44.6664;1024.4;292.942;388.782;2.0;146.471
58;500000;0;63.9782;765.664;288.966;443.974;2.0;144.483
59;500000;0;49.9173;1049.41;619.051;232.985;2.0;309.5255
60;500000;0;41.9821;1332.84;327.561;494.056;2.0;163.7805
61;500000;0;56.4836;1057.06;948.965;190.995;2.0;474.4825
62;500000;0;83.3553;763.514;486.614;416.397;2.0;243.307
63;500000;0;56.338;1202.94;455.911;495.989;2.0;227.9555
