dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;0.44306;1848.99;3.41446;729.589
5;500000;0;0.536521;1893.35;2.96776;729.416
6;500000;0;0.638934;1897.59;2.49747;739.505
7;500000;0;0.733796;1920.21;2.41861;710.341
8;500000;0;0.834345;1924.45;2.62922;744.923
9;500000;0;0.923741;1951.05;2.25393;731.752
10;500000;0;1.03481;1931.64;2.51668;727.033
11;500000;0;1.12987;1943.14;2.98447;673.523
12;500000;0;1.24048;1928.36;2.94808;743.027
13;500000;0;1.34199;1929.0;3.37251;703.005
14;500000;0;1.44551;1926.88;2.42681;700.861
15;500000;0;1.48134;2013.0;3.36762;540.774
16;500000;0;1.61431;1968.97;3.43463;565.238
17;500000;0;1.65329;2041.48;4.12851;499.368
18;500000;0;1.84672;1934.11;3.77643;577.77
19;500000;0;1.91256;1970.33;4.57461;503.25
20;500000;0;2.01939;1963.46;4.32281;560.384
21;500000;0;2.10808;1974.12;4.43501;573.324
22;500000;0;2.21968;1963.44;6.32729;420.869
23;500000;0;2.30737;1974.03;6.36054;437.577
24;500000;0;2.45827;1932.83;4.97745;583.328
25;500000;0;2.58313;1915.52;5.2362;577.47
26;500000;0;2.70077;1904.88;7.41806;423.832
27;500000;0;2.81043;1900.52;6.98784;467.136
28;500000;0;2.92447;1893.63;6.04117;560.245
29;500000;0;3.02444;1896.05;8.0339;436.252
30;500000;0;3.09132;1918.63;6.40623;565.865
31;500000;0;3.14376;1949.17;8.5711;436.972
32;500000;0;4.4097;1434.18;10.3825;558.479
33;500000;0;3.33695;1954.16;12.6687;471.934
34;500000;0;3.55853;1887.73;9.666;424.8
35;500000;0;3.5842;1929.07;9.48781;445.453
36;500000;0;3.72309;1909.91;7.89721;550.402
37;500000;0;3.68214;1984.54;8.84788;504.856
38;500000;0;3.76578;1992.68;10.8058;424.509
39;500000;0;3.8828;1983.26;10.052;468.307
