dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.53069;4.92283;0.135272;0.131103;7.0;0.01932457142857143
5;500000;0;0.667975;8.14477;0.159109;0.334505;6.0;0.026518166666666666
6;500000;0;0.815464;12.3641;0.188457;0.677717;5.0;0.0376914
7;500000;0;0.962057;17.856;0.205057;1.24532;4.0;0.05126425
8;500000;0;1.10507;24.8532;0.178061;3.21816;4.0;0.04451525
9;500000;0;1.24647;33.5125;0.30147;3.91869;4.0;0.0753675
10;500000;0;1.3865;44.0175;0.163251;10.4484;3.0;0.054417
11;500000;0;1.51863;56.803;0.240311;12.913;3.0;0.08010366666666667
12;500000;0;1.66249;71.3319;0.174845;30.7905;3.0;0.05828166666666667
13;500000;0;1.76652;90.1347;0.302462;29.6547;3.0;0.10082066666666667
14;500000;0;1.90902;109.733;0.262306;55.0168;3.0;0.08743533333333332
15;500000;0;2.41112;112.301;0.254378;59.0291;2.0;0.127189
16;500000;0;2.61806;131.621;0.30223;75.4969;2.0;0.151115
17;500000;0;2.95648;146.305;0.49539;68.3517;2.0;0.247695
18;500000;0;3.08646;173.77;0.40061;122.806;2.0;0.200305
19;500000;0;3.20233;205.395;0.646684;108.455;2.0;0.323342
20;500000;0;3.34878;238.493;0.543387;180.877;2.0;0.2716935
21;500000;0;3.4302;280.18;0.626334;216.511;2.0;0.313167
22;500000;0;3.62258;316.641;0.822122;224.38;2.0;0.411061
23;500000;0;3.75642;361.726;1.0958;226.038;2.0;0.5479
24;500000;0;4.97293;321.451;1.29931;252.937;2.0;0.649655
25;500000;0;5.17042;361.421;1.73652;248.358;2.0;0.86826
26;500000;0;5.48437;395.981;1.80496;310.388;2.0;0.90248
27;500000;0;7.04673;356.21;2.51127;287.074;2.0;1.255635
28;500000;0;6.99808;412.485;2.90472;316.58;2.0;1.45236
29;500000;0;8.25163;400.395;4.17569;278.614;2.0;2.087845
30;500000;0;8.80684;427.496;4.54027;321.713;2.0;2.270135
31;500000;0;9.04961;472.118;5.75326;316.475;2.0;2.87663
