dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;1.51416;541.035;5.38386;462.709;10.0;0.538386
5;500000;0;1.83131;554.698;4.72562;458.084;7.0;0.6750885714285715
6;500000;0;2.08525;581.433;4.08284;452.355;5.0;0.816568
7;500000;0;2.3314;604.378;3.83244;448.289;4.0;0.95811
8;500000;0;2.58694;620.678;4.42436;442.677;4.0;1.10609
9;500000;0;2.81602;640.006;3.71077;444.467;3.0;1.2369233333333334
10;500000;0;3.03761;658.042;4.33803;421.785;3.0;1.44601
11;500000;0;3.30045;665.21;4.90561;409.756;3.0;1.6352033333333333
12;500000;0;3.52621;678.377;5.1947;421.68;3.0;1.7315666666666667
13;500000;0;3.77061;686.549;5.73478;413.424;3.0;1.9115933333333333
14;500000;0;4.05517;686.857;4.1163;413.201;2.0;2.05815
15;500000;0;4.23806;703.609;4.32194;421.367;2.0;2.16097
16;500000;0;4.62596;687.11;4.63567;418.792;2.0;2.317835
17;500000;0;5.69107;593.062;4.98605;413.483;2.0;2.493025
18;500000;0;6.10959;584.616;5.22526;417.57;2.0;2.61263
19;500000;0;6.23386;604.502;5.60049;411.067;2.0;2.800245
20;500000;0;6.61381;599.502;5.77607;419.392;2.0;2.888035
21;500000;0;6.84598;607.889;6.0298;421.688;2.0;3.0149
22;500000;0;7.26589;599.818;6.31844;421.459;2.0;3.15922
23;500000;0;7.33021;621.377;6.67917;416.702;2.0;3.339585
24;500000;0;7.78914;610.008;6.8506;423.829;2.0;3.4253
25;500000;0;8.05547;614.246;7.46874;404.854;2.0;3.73437
26;500000;0;9.46356;543.628;7.62771;412.183;2.0;3.813855
27;500000;0;9.80336;544.84;8.37359;389.83;2.0;4.186795
28;500000;0;8.91306;621.321;8.70152;388.959;2.0;4.35076
29;500000;0;8.97339;639.055;9.08101;385.948;2.0;4.540505
30;500000;0;9.69391;611.838;9.29458;390.019;2.0;4.64729
31;500000;0;9.52525;643.312;10.5084;356.413;2.0;5.2542
