dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.1953528;2.0806145;0.18693519;0.44668969999999997;0.341147;11.3499;0.189875;1.25552
40000;1;0.360023;0.40801699999999996;0.32089814;0.4336616;0.340308;45.5117;0.182919;2.56612
60000;1;0.2006041;3.73133;0.014590370000000002;0.9199809999999999;0.356467;97.7594;0.190062;3.76286
80000;1;0.2416701;4.2281815;0.013242150000000001;0.957313;0.395446;156.664;0.206289;4.62248
100000;1;0.1904887;5.421085;0.013583330000000001;0.9851285000000001;0.410406;235.864;0.203453;5.85864
200000;1;0.399495;1.84044;0.01807126;0.7406794999999999;0.560706;690.558;0.215512;10.9759
400000;1;0.2949535;7.867335000000001;0.01401206;1.014413;1.05568;1467.11;0.240333;19.8385
600000;1;0.3683533;8.52788;0.0135638;0.974543;1.9008;1833.33;0.293674;24.3527
800000;1;0.39275099999999996;9.268149999999999;0.013487490000000001;0.8449439999999999;3.08468;2008.38;0.310927;30.6686
1000000;1;0.588392;6.24897;0.018077160000000002;0.7661515;4.56106;2122.32;0.340106;34.775
