dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.42725199999999997;8.87858;0.396966;17.0533;0.0130755;734.195;0.256172;45.5338
40000;1;0.39387300000000003;19.2522;0.0298038;226.5755;0.0202531;1896;0.241186;96.6125
60000;1;0.400941;28.50415;0.027750700000000003;244.04950000000002;0.0352608;2450.31;0.253345;138.179
80000;1;0.427089;35.787099999999995;0.025308999999999998;267.405;0.060252;2549.29;0.24736;188.697
100000;1;0.431673;43.9405;0.026577999999999997;254.579;0.0926413;2590.64;0.254795;229.078
200000;1;0.47664399999999996;79.45925;0.0269403;251.1705;0.244365;3928.55;0.289909;402.192
400000;1;0.563927;134.525;0.0273655;247.2595;0.864665;4441.03;0.339455;687.785
600000;1;0.608185;186.85500000000002;0.0256982;263.07950000000005;1.8576;4651.16;0.342439;1021.89
800000;1;0.692866;218.82999999999998;0.0264055;255.9345;3.27313;4692.75;0.443101;1052.57
1000000;1;0.5908800000000001;375.66;0.02338186;299.735;5.12729;4680.83;0.491851;1187.17
