dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.447944;35.212599999999995;0.530937;255.702;0.414101;23.1827;0.272638;176.671
40000;1;0.437077;71.83109999999999;0.0991688;1366.29;0.489725;78.4113;0.276905;348.721
60000;1;0.430873;109.5455;0.084891;1365.935;0.502055;172.093;0.305737;473.127
80000;1;0.469142;133.696;0.09342339999999999;1443.52;0.514955;298.279;0.332767;577.566
100000;1;0.478534;163.9365;0.0966688;1397.7649999999999;0.549367;436.867;0.323481;744.373
200000;1;0.51606;303.88800000000003;0.09526;1418.255;0.706845;1358.15;0.352523;1366.1
400000;1;0.7123630000000001;444.4045;0.0912355;1485.0549999999998;1.30066;2952.35;0.516609;1867.22
600000;1;0.7000919999999999;671.9335;0.0802174;1444.775;2.32283;3719.59;0.634117;2278.14
800000;1;0.800233;784.1985;0.09182309999999999;1470.095;3.73548;4111.92;0.731228;2629.13
1000000;1;0.881292;889.664;0.0885228;1524.23;5.50126;4362.64;0.890973;2698.72
