dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.1402794;27.0038;0.334985;20.182000000000002;0.390295;24.5968;0.306401;38.0694
40000;1;0.166597;45.4491;0.33438199999999996;20.19615;0.411056;93.4179;0.309675;75.2453
60000;1;0.21834399999999998;52.0573;0.33104100000000003;20.4309;0.426351;202.65;0.324354;107.929
80000;1;0.241603;62.73015;0.33174000000000003;20.3883;0.459063;334.595;0.334018;139.741
100000;1;0.24299500000000002;77.98464999999999;0.330476;20.47455;0.511526;469.184;0.337248;173.072
200000;1;0.36764399999999997;103.019;0.329532;20.5084;0.849783;1129.7;0.372115;313.342
400000;1;0.45006999999999997;168.4155;0.333554;20.28705;2.13463;1798.9;0.444038;525.792
600000;1;0.8506910000000001;133.5875;0.3317;20.38215;4.65236;1857.12;0.518529;674.859
800000;1;0.621702;243.6895;0.329847;20.49075;8.48807;1809.6;0.587937;793.277
1000000;1;1.3325339999999999;142.221;0.33428;20.2483;13.7406;1746.65;0.680226;858.402
