dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.04079106;2.758595;0.01814377;0.7988184999999999;0.274959;14.0821;0.0290858;8.19616
40000;1;0.056888100000000004;3.4039800000000002;0.02440098;0.7730385;0.279628;55.388;0.0137628;34.1059
60000;1;0.0580401;5.16439;0.01212433;1.07089;0.294562;118.305;0.0361645;19.7756
80000;1;0.0749377;5.76455;0.01180484;1.0156269999999998;0.310202;199.715;0.0464096;20.5468
100000;1;0.0547053;7.3605;0.01200234;1.08287;0.345694;280.016;0.0297027;40.1297
200000;1;0.0978178;7.65203;0.01147815;1.16833;0.472368;819.7;0.0464728;50.8994
400000;1;0.1325376;11.34818;0.01236243;1.0502950000000002;0.995413;1555.94;0.074996;63.5746
600000;1;0.2020604;11.30588;0.01217884;1.065785;1.75859;1981.59;0.136201;52.509
800000;1;0.23746899999999999;12.544;0.01143152;0.960801;2.86324;2163.7;0.150286;63.4503
1000000;1;0.271825;13.5242;0.01318111;1.0512394999999999;4.27629;2263.64;0.180836;65.4031
