dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.1526903;0.48333349999999997;0.32505799999999996;0.039933750000000004;0.209036;18.5231;0.0865169;2.75544
40000;1;0.1846831;0.7929165;0.271868;0.05152775;0.228966;67.6433;0.086445;5.42995
60000;1;0.22348200000000001;0.990613;0.325014;0.0399451;0.25234;138.099;0.0965433;7.40782
80000;1;0.25906799999999996;1.1392799999999998;0.32519699999999996;0.036845249999999996;0.284048;218.104;0.0952259;10.0137
100000;1;0.29939000000000004;1.23231;0.325833;0.03983685;0.311397;310.857;0.096169;12.3944
200000;1;0.35871699999999995;2.04909;0.326064;0.04100605;0.670862;577.168;0.119076;19.8649
400000;1;0.57348;2.5733550000000003;0.321745;0.04034325;2.15766;717.816;0.152802;31.2027
600000;1;0.796495;2.779235;0.32226299999999997;0.04027815;4.61319;755.399;0.171583;41.6811
800000;1;0.45380699999999996;6.50401;0.322094;0.03410055;8.07169;767.522;0.207659;45.9199
1000000;1;1.162482;3.1614199999999997;0.32673;0.042421799999999996;12.4757;775.91;0.233827;50.581
