dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;0;0.0249931;250.988;0.028245;826.853;0.0133966;955.469;0.289225;132.789
40000;0;0.0325391;385.566;0.020534;1137.36;0.0242095;2114.87;0.299365;256.583
60000;0;0.0500937;375.675;0.0194956;1197.94;0.0420119;2742.08;0.31588;364.753
80000;0;0.0519554;482.951;0.0197836;1180.5;0.0823342;2487.42;0.323694;474.596
100000;0;0.0555138;564.992;0.0196593;1187.96;0.120836;2648.22;0.325273;590.366
200000;0;0.0777395;806.923;0.019427;1202.17;0.333795;3834.68;0.380394;1009.64
400000;0;0.150111;835.777;0.0199824;1168.76;1.14298;4479.51;0.472204;1626.67
600000;0;0.217475;865.339;0.0192177;1215.26;2.46184;4679.43;0.578619;1991.26
800000;0;0.282372;888.613;0.0199718;1169.37;4.31961;4741.16;0.666308;2305.6
1000000;0;0.333661;940.023;0.0196473;1188.69;6.72573;4757.85;0.780228;2461.2
