dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;1.438328;122.857;18.14593;329.4015;0.546746;29.2641;2.32796;215.742
40000;1;1.543911;228.90800000000002;17.858130000000003;334.499;0.576254;111.062;2.92026;343.968
60000;1;1.708394;310.398;17.93937;333.087;0.675716;213.107;3.40741;442.186
80000;1;1.85894;380.281;17.977130000000002;332.499;0.746783;342.804;3.9061;514.31
100000;1;2.026752;435.93399999999997;18.10605;330.24199999999996;0.915295;437.018;4.49788;558.305
200000;1;2.7519400000000003;660.185;18.69548;337.3375;1.99168;803.341;7.19571;738.943
400000;1;4.28632;824.9255;18.499270000000003;322.8325;6.2373;1026.09;11.8443;848.068
600000;1;5.92092;898.29;18.38527;325.508;13.2257;1088.79;16.9751;889.52
800000;1;7.31862;987.095;18.875709999999998;329.996;23.1666;1105.04;22.6971;925.312
1000000;1;8.930019999999999;992.099;17.72814;337.1995;35.603;1123.5;26.727;939.569
