dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.38633700000000004;6.61464;0.831672;8.61988;0.468178;13.67;0.783928;10.1171
40000;1;0.413198;12.36845;0.832214;8.63828;0.522376;49.0068;0.799607;19.8764
60000;1;0.432952;17.7195;0.838165;8.578385;0.586526;98.2053;0.82167;29.014
80000;1;0.451091;22.69605;0.834241;8.633445;0.677754;151.087;0.811781;39.2488
100000;1;0.45382500000000003;28.2205;0.8461529999999999;8.498965;0.782508;204.471;0.848644;46.8013
200000;1;0.537281;47.765299999999996;0.8422160000000001;8.55348;1.766;362.4;0.935529;85.1762
400000;1;0.667521;76.99719999999999;0.862167;8.360945000000001;5.51561;464.138;1.08204;147.401
600000;1;0.784598;97.6711;0.870158;8.238885;11.6337;495.114;1.23983;191.907
800000;1;0.917389;111.97550000000001;0.864363;8.339794999999999;20.5298;498.788;1.39473;228.62
1000000;1;1.024056;125.65350000000001;0.885854;8.115705;31.6653;505.286;1.52436;260.86
