lambda_value, threshold, percent_correct
1e-08,0.0,0.00980392156862745
1e-08,166.666666667,0.2510362745098039
1e-08,333.333333333,0.7337686274509804
1e-08,500.0,0.8423411764705883
1e-08,666.666666667,0.8818303921568628
1e-08,833.333333333,0.9015774509803921
1e-08,1000.0,0.9408588235294117
1e-08,1166.66666667,0.9406637254901961
1e-08,1333.33333333,0.9499156862745098
1e-08,1500.0,0.9489205882352941
1e-08,1203.7037037,0.9405745098039215
1e-08,1240.74074074,0.9404696078431373
1e-08,1277.77777778,0.9403529411764706
1e-08,1314.81481481,0.9499990196078432
1e-08,1351.85185185,0.9498343137254902
1e-08,1388.88888889,0.9496441176470588
1e-08,1425.92592593,0.9494176470588235
1e-08,1462.96296296,0.9491892156862745
1e-07,0.0,0.00980392156862745
1e-07,166.666666667,0.3999519607843137
1e-07,333.333333333,0.7148441176470588
1e-07,500.0,0.8426431372549019
1e-07,666.666666667,0.8915745098039216
1e-07,833.333333333,0.9196990196078432
1e-07,1000.0,0.9362980392156863
1e-07,1166.66666667,0.9410294117647059
1e-07,1333.33333333,0.9344921568627451
1e-07,1500.0,0.9563970588235294
1e-07,1370.37037037,0.9427303921568627
1e-07,1407.40740741,0.941092156862745
1e-07,1444.44444444,0.9491529411764706
1e-07,1481.48148148,0.9474401960784313
1e-07,1518.51851852,0.9555186274509804
1e-07,1555.55555556,0.9537892156862745
1e-07,1592.59259259,0.9518872549019608
1e-07,1629.62962963,0.9501127450980392
1e-06,0.0,0.00980392156862745
1e-06,166.666666667,0.43028627450980395
1e-06,333.333333333,0.7519186274509804
1e-06,500.0,0.8715578431372549
1e-06,666.666666667,0.9052049019607843
1e-06,833.333333333,0.8943529411764706
1e-06,1000.0,0.8978078431372549
1e-06,1166.66666667,0.8921519607843137
1e-06,1333.33333333,0.8837254901960784
1e-06,1500.0,0.8606794117647059
1e-06,537.037037037,0.885593137254902
1e-06,574.074074074,0.8994107843137255
1e-06,611.111111111,0.9035823529411765
1e-06,648.148148148,0.9078617647058823
1e-06,685.185185185,0.9026147058823529
1e-06,722.222222222,0.8976696078431372
1e-06,759.259259259,0.9028343137254902
1e-06,796.296296296,0.8985225490196078
1e-05,0.0,0.00980392156862745
1e-05,166.666666667,0.6729352941176471
1e-05,333.333333333,0.8091107843137255
1e-05,203.703703704,0.76145
1e-05,240.740740741,0.786435294117647
1e-05,277.777777778,0.8014823529411764
1e-05,314.814814815,0.8212303921568628
1e-05,351.851851852,0.8348088235294118
1e-05,388.888888889,0.8037901960784314
1e-05,425.925925926,0.7702598039215687
1e-05,462.962962963,0.745586274509804
0.0001,0.0,0.00980392156862745
0.0001,18.5185185185,0.03420980392156863
0.0001,37.037037037,0.15339411764705882
0.0001,55.5555555556,0.36931764705882353
0.0001,74.0740740741,0.45818333333333333
3.16227766016838e-08,0.0,0.00980392156862745
3.16227766016838e-08,166.666666667,0.35005294117647057
3.16227766016838e-08,333.333333333,0.7635803921568628
3.16227766016838e-08,500.0,0.8228862745098039
3.16227766016838e-08,666.666666667,0.8819323529411764
3.16227766016838e-08,833.333333333,0.9113745098039215
3.16227766016838e-08,1000.0,0.9305813725490196
3.16227766016838e-08,1166.66666667,0.9393117647058824
3.16227766016838e-08,1333.33333333,0.9373676470588236
3.16227766016838e-08,1500.0,0.9540794117647059
3.16227766016838e-08,1370.37037037,0.946621568627451
3.16227766016838e-08,1407.40740741,0.9460294117647059
3.16227766016838e-08,1444.44444444,0.9551382352941177
3.16227766016838e-08,1481.48148148,0.954435294117647
3.16227766016838e-08,1518.51851852,0.9537078431372549
3.16227766016838e-08,1555.55555556,0.9529480392156863
3.16227766016838e-08,1592.59259259,0.9521392156862745
3.16227766016838e-08,1629.62962963,0.9512666666666667
1.0000000000000002e-07,0.0,0.00980392156862745
1.0000000000000002e-07,166.666666667,0.3999519607843137
1.0000000000000002e-07,333.333333333,0.7148441176470588
1.0000000000000002e-07,500.0,0.8426431372549019
1.0000000000000002e-07,666.666666667,0.8915745098039216
1.0000000000000002e-07,833.333333333,0.9196990196078432
1.0000000000000002e-07,1000.0,0.9362980392156863
1.0000000000000002e-07,1166.66666667,0.9410294117647059
1.0000000000000002e-07,1333.33333333,0.9344921568627451
1.0000000000000002e-07,1500.0,0.9563970588235294
1.0000000000000002e-07,1370.37037037,0.9427303921568627
1.0000000000000002e-07,1407.40740741,0.941092156862745
1.0000000000000002e-07,1444.44444444,0.9491529411764706
1.0000000000000002e-07,1481.48148148,0.9474401960784313
1.0000000000000002e-07,1518.51851852,0.9555186274509804
1.0000000000000002e-07,1555.55555556,0.9537892156862745
1.0000000000000002e-07,1592.59259259,0.9518872549019608
1.0000000000000002e-07,1629.62962963,0.9501127450980392
3.16227766016838e-07,0.0,0.00980392156862745
3.16227766016838e-07,166.666666667,0.3906421568627451
3.16227766016838e-07,333.333333333,0.6954480392156863
3.16227766016838e-07,500.0,0.8320735294117647
3.16227766016838e-07,666.666666667,0.9251137254901961
