SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,16,0,4,8.44872,8.44872,2.06309,0,0
0,0,0.100000,32,16,0,4,6.5433,6.5433,1.95215,0,0
0,0,0.100000,64,16,0,4,5.6025,5.6025,1.95784,0,0
0,0,0.100000,128,16,0,4,4.8204,4.8204,2.04824,0,0
0,0,0.100000,256,16,0,4,4.54049,4.54049,2.02669,0,0
0,0,0.100000,512,16,0,4,4.51716,4.51716,1.98381,0,0
0,1,0.100000,16,16,0,4,8.12075,8.12075,2.00511,0,0
0,1,0.100000,32,16,0,4,6.55231,6.55231,1.97987,0,0
0,1,0.100000,64,16,0,4,5.27196,5.27196,2.00447,0,0
0,1,0.100000,128,16,0,4,4.96622,4.96622,2.02596,0,0
0,1,0.100000,256,16,0,4,4.64832,4.64832,2.04462,0,0
0,1,0.100000,512,16,0,4,4.54573,4.54573,2.05005,0,0
0,0,0.100000,16,16,1,4,8.06093,8.06093,1.99082,0,0
0,0,0.100000,32,16,1,4,6.41496,6.41496,2.08312,0,0
0,0,0.100000,64,16,1,4,5.13345,5.13345,1.98633,0,0
0,0,0.100000,128,16,1,4,4.61139,4.61139,2.02754,0,0
0,0,0.100000,256,16,1,4,4.48497,4.48497,2.06182,0,0
0,0,0.100000,512,16,1,4,4.25223,4.25223,2.09617,0,0
0,1,0.100000,16,16,1,4,8.3258,8.3258,2.04329,0,0
0,1,0.100000,32,16,1,4,6.19591,6.19591,2.08557,0,0
0,1,0.100000,64,16,1,4,5.38616,5.38616,2.02033,0,0
0,1,0.100000,128,16,1,4,4.5327,4.5327,2.07264,0,0
0,1,0.100000,256,16,1,4,4.34578,4.34578,2.0515,0,0
0,1,0.100000,512,16,1,4,4.27279,4.27279,2.12268,0,0
0,0,0.100000,16,64,0,4,8.64842,8.64842,2.0056,0,0
0,0,0.100000,32,64,0,4,7.90056,7.90056,2.05108,0,0
0,0,0.100000,64,64,0,4,6.05879,6.05879,2.02029,0,0
0,0,0.100000,128,64,0,4,4.9022,4.9022,2.04681,0,0
0,0,0.100000,256,64,0,4,4.53879,4.53879,2.03243,0,0
0,0,0.100000,512,64,0,4,4.45152,4.45152,2.02607,0,0
0,1,0.100000,16,64,0,4,8.47445,8.47445,1.95012,0,0
0,1,0.100000,32,64,0,4,6.57396,6.57396,2.03738,0,0
0,1,0.100000,64,64,0,4,5.3952,5.3952,2.00359,0,0
0,1,0.100000,128,64,0,4,4.724,4.724,2.01551,0,0
0,1,0.100000,256,64,0,4,4.52339,4.52339,2.01817,0,0
0,1,0.100000,512,64,0,4,4.45412,4.45412,2.03427,0,0
