SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,16,0,4,8.53549,8.53549,2.04281,0,0
0,0,0.100000,32,16,0,4,6.54983,6.54983,1.89975,0,0
0,0,0.100000,64,16,0,4,5.27823,5.27823,1.99568,0,0
0,0,0.100000,128,16,0,4,4.83893,4.83893,1.97086,0,0
0,0,0.100000,256,16,0,4,4.5262,4.5262,2.02826,0,0
0,0,0.100000,512,16,0,4,4.45836,4.45836,1.97559,0,0
0,1,0.100000,512,16,0,4,4.51435,4.51435,1.99181,0,0
0,0,0.100000,512,16,1,4,4.30925,4.30925,2.09475,0,0
0,0,0.100000,512,64,1,4,4.34071,4.34071,2.05498,0,0
0,0,0.100000,512,256,1,4,4.27677,4.27677,2.01912,0,0
0,0,0.200000,512,256,1,4,4.27267,4.27267,2.088,0,0
0,0,0.300000,512,256,1,4,4.25063,4.25063,2.07597,0,0
1,0,0.300000,512,256,1,4,2.51637,2.51637,2.0757,0,0
1,0,0.300000,16,256,1,4,6.04911,6.04911,2.11445,0,0
1,0,0.300000,32,256,1,4,5.10165,5.10165,2.08059,0,0
1,0,0.300000,64,256,1,4,3.36879,3.36879,2.12077,0,0
1,0,0.300000,128,256,1,4,3.09217,3.09217,2.05695,0,0
1,0,0.300000,256,256,1,4,3.08243,3.08243,2.07628,0,0
1,1,0.300000,512,256,1,4,2.46133,2.46133,2.06005,0,0
1,1,0.300000,512,256,0,4,2.54896,2.54896,2.03273,0,0
1,1,0.300000,512,16,1,4,2.55534,2.55534,2.04268,0,0
1,1,0.300000,512,64,1,4,2.47091,2.47091,2.06301,0,0
1,1,0.100000,512,256,1,4,2.51413,2.51413,2.06877,0,0
1,1,0.200000,512,256,1,4,3.24194,3.24194,2.11963,0,0
0,1,0.300000,512,256,1,4,4.28309,4.28309,2.06793,0,0
1,1,0.300000,16,256,1,4,5.97853,5.97853,2.08656,0,0
1,1,0.300000,32,256,1,4,4.41829,4.41829,2.05699,0,0
1,1,0.300000,64,256,1,4,3.4056,3.4056,2.08332,0,0
1,1,0.300000,128,256,1,4,2.98083,2.98083,2.08138,0,0
1,1,0.300000,256,256,1,4,2.65199,2.65199,2.06572,0,0
