SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.300000,256,64,1,8,4.44929,4.44929,2.08216,0,0
0,0,0.300000,16,256,1,8,7.4425,7.4425,2.03748,0,0
0,1,0.300000,32,256,1,8,6.03688,6.03688,2.07543,0,0
0,0,0.300000,16,16,1,4,7.65466,7.65466,2.09418,0,0
1,0,0.100000,128,16,0,8,3.32095,3.32095,1.97814,0,0
0,0,0.300000,32,64,0,4,6.41316,6.41316,1.95463,0,0
0,1,0.300000,256,256,1,8,4.39773,4.39773,2.05902,0,0
0,1,0.200000,16,64,1,8,7.74769,7.74769,2.07879,0,0
0,1,0.100000,16,256,0,4,8.15324,8.15324,1.99212,0,0
1,1,0.300000,128,16,0,4,3.18393,3.18393,2.01195,0,0
0,0,0.100000,16,256,1,8,7.63353,7.63353,2.02835,0,0
1,0,0.300000,256,64,0,4,2.65076,2.65076,1.99712,0,0
0,0,0.200000,64,64,1,4,5.80752,5.80752,2.06487,0,0
0,0,0.300000,128,256,1,4,4.62267,4.62267,2.02282,0,0
1,0,0.200000,64,64,0,8,3.48312,3.48312,2.03151,0,0
0,0,0.200000,128,64,0,4,5.3324,5.3324,2.06736,0,0
0,1,0.100000,256,64,1,4,4.4469,4.4469,2.10272,0,0
0,1,0.100000,128,16,1,4,5.07553,5.07553,1.88004,0,0
1,0,0.300000,128,64,0,8,2.97017,2.97017,1.9791,0,0
0,1,0.100000,16,256,1,4,7.90545,7.90545,2.06741,0,0
1,1,0.200000,512,16,0,8,2.58022,2.58022,2.02686,0,0
0,1,0.200000,32,64,1,4,6.05453,6.05453,2.0994,0,0
0,0,0.200000,256,64,0,8,4.6307,4.6307,1.99948,0,0
1,0,0.200000,512,16,0,4,2.46969,2.46969,2.01597,0,0
0,1,0.300000,16,256,1,8,7.94094,7.94094,2.09649,0,0
1,0,0.200000,512,64,1,8,3.29895,3.29895,2.06958,0,0
0,0,0.100000,64,256,0,8,5.41432,5.41432,1.98868,0,0
0,1,0.100000,128,256,1,8,4.75548,4.75548,2.04367,0,0
1,0,0.200000,16,16,1,8,6.61767,6.61767,2.10701,0,0
0,1,0.300000,64,256,1,8,5.48167,5.48167,2.05772,0,0
0,0,0.100000,64,64,0,4,6.14711,6.14711,1.99764,0,0
1,0,0.300000,64,256,1,8,3.55671,3.55671,2.05895,0,0
1,0,0.300000,16,64,0,8,6.1174,6.1174,2.03247,0,0
0,0,0.200000,128,16,1,4,4.63953,4.63953,2.06083,0,0
1,1,0.100000,32,16,0,8,4.43698,4.43698,2.01856,0,0
1,1,0.200000,128,256,1,8,2.92187,2.92187,2.08136,0,0
1,0,0.300000,16,256,1,8,5.97675,5.97675,2.10408,0,0
