SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_STREAMING_THRESHOLD,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,16,0,4,8.16416,8.16416,2.09581,0,0
0,0,0.100000,32,16,0,4,6.3905,6.3905,1.88784,0,0
0,1,0.100000,16,16,0,4,8.52548,8.52548,2.03042,0,0
0,0,0.100000,16,16,1,4,7.69996,7.69996,2.11677,0,0
0,0,0.100000,16,64,0,4,8.45135,8.45135,2.01535,0,0
0,0,0.200000,16,16,0,4,8.42655,8.42655,2.00715,0,0
1,0,0.100000,16,16,0,4,6.53305,6.53305,2.02862,0,0
0,0,0.100000,64,16,0,4,5.48151,5.48151,1.95716,0,0
0,1,0.100000,32,16,0,4,6.80942,6.80942,2.04754,0,0
0,0,0.100000,32,16,1,4,6.29015,6.29015,2.1014,0,0
0,0,0.100000,32,64,0,4,6.65622,6.65622,1.94641,0,0
0,0,0.200000,32,16,0,4,6.69064,6.69064,1.99967,0,0
1,0,0.100000,32,16,0,4,5.01133,5.01133,1.988,0,0
1,0,0.100000,64,16,0,4,3.48766,3.48766,1.99553,0,0
1,1,0.100000,32,16,0,4,4.95283,4.95283,2.00965,0,0
1,0,0.100000,32,16,1,4,5.12224,5.12224,2.06802,0,0
1,0,0.100000,32,64,0,4,5.05496,5.05496,2.01515,0,0
1,0,0.200000,32,16,0,4,5.04819,5.04819,2.01298,0,0
1,0,0.100000,128,16,0,4,2.93377,2.93377,1.98429,0,0
1,1,0.100000,64,16,0,4,3.54268,3.54268,2.02569,0,0
1,0,0.100000,64,16,1,4,3.59881,3.59881,2.09125,0,0
1,0,0.100000,64,64,0,4,3.50601,3.50601,2.00442,0,0
1,0,0.200000,64,16,0,4,3.51564,3.51564,2.00542,0,0
1,0,0.100000,256,16,0,4,2.58126,2.58126,1.99592,0,0
1,1,0.100000,128,16,0,4,2.90755,2.90755,1.98737,0,0
1,0,0.100000,128,16,1,4,2.81933,2.81933,2.10961,0,0
1,0,0.100000,128,64,0,4,2.86784,2.86784,1.9849,0,0
1,0,0.200000,128,16,0,4,2.85496,2.85496,1.97391,0,0
0,0,0.100000,128,16,0,4,4.77221,4.77221,1.96255,0,0
1,0,0.100000,512,16,0,4,2.48877,2.48877,1.97476,0,0
1,1,0.100000,256,16,0,4,2.73641,2.73641,1.99559,0,0
1,0,0.100000,256,16,1,4,2.83418,2.83418,2.10333,0,0
1,0,0.100000,256,64,0,4,2.60538,2.60538,2.01777,0,0
1,0,0.200000,256,16,0,4,2.6113,2.6113,2.01278,0,0
0,0,0.100000,256,16,0,4,4.64693,4.64693,2.00548,0,0
1,1,0.100000,512,16,0,4,2.53262,2.53262,2.03879,0,0
1,0,0.100000,512,16,1,4,2.52024,2.52024,2.08189,0,0
1,0,0.100000,512,64,0,4,2.45744,2.45744,2.02563,0,0
1,0,0.200000,512,16,0,4,2.50173,2.50173,2.02009,0,0
0,0,0.100000,512,16,0,4,4.51124,4.51124,2.03142,0,0
1,1,0.100000,512,64,0,4,2.51689,2.51689,2.05618,0,0
1,0,0.100000,512,64,1,4,2.48175,2.48175,2.08706,0,0
1,0,0.100000,512,256,0,4,2.43148,2.43148,2.01707,0,0
1,0,0.200000,512,64,0,4,2.49548,2.49548,1.95017,0,0
0,0,0.100000,512,64,0,4,4.43088,4.43088,1.98477,0,0
1,0,0.100000,256,256,0,4,2.59634,2.59634,1.99863,0,0
1,1,0.100000,512,256,0,4,2.58161,2.58161,2.00115,0,0
1,0,0.100000,512,256,1,4,2.57634,2.57634,2.05298,0,0
1,0,0.200000,512,256,0,4,2.53297,2.53297,2.07662,0,0
0,0,0.100000,512,256,0,4,4.48303,4.48303,2.00219,0,0
