KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0237899,0.0237899,0.000206565,0,0
1,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0222661,0.0222661,0.000112813,0,0
1,1,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0212984,0.0212984,0.000109972,0,0
1,1,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0373692,0.0373692,0.000115531,0,0
1,1,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0211024,0.0211024,0.000112566,0,0
1,1,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0211316,0.0211316,0.000112515,0,0
1,1,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0209356,0.0209356,0.000121469,0,0
2,1,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0212867,0.0212867,0.000111108,0,0
4,1,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0210901,0.0210901,0.000139425,0,0
8,1,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0296446,0.0296446,0.000110345,0,0
1,2,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.022677,0.022677,0.000101956,0,0
1,4,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0203312,0.0203312,0.000142146,0,0
1,8,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0198453,0.0198453,0.00011096,0,0
1,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0197835,0.0197835,0.000112597,0,0
1,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0200038,0.0200038,0.000110453,0,0
1,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0203532,0.0203532,0.000111742,0,0
1,8,10,32,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0245767,0.0245767,0.000116091,0,0
1,8,10,32,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0242214,0.0242214,0.000103088,0,0
1,8,10,32,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0236557,0.0236557,0.000108376,0,0
1,8,10,32,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.038729,0.038729,0.000108991,0,0
1,8,1,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.019887,0.019887,0.0001134,0,0
1,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.019824,0.019824,0.000103842,0,0
1,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0199387,0.0199387,0.000114078,0,0
2,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0153791,0.0153791,0.000110369,0,0
4,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.012752,0.012752,0.000135323,0,0
8,8,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0122629,0.0122629,0.000130492,0,0
8,1,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0286217,0.0286217,0.000119737,0,0
8,2,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0173469,0.0173469,0.000119142,0,0
8,4,10,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.015576,0.015576,0.000127439,0,0
8,8,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0127006,0.0127006,0.000112474,0,0
8,8,10,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0122635,0.0122635,0.000118768,0,0
8,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0123049,0.0123049,0.000117693,0,0
