KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_SCHEDULE_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,1024000,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.143613,0.143613,0.00017699,0,0
1,1,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.142579,0.142579,0.000114896,0,0
1,1,1,16,1024000,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.146806,0.146806,0.000173019,0,0
1,1,1,16,1024000,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.270504,0.270504,0.000117684,0,0
1,1,2,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.151952,0.151952,0.000155213,0,0
1,1,4,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.149789,0.149789,0.000133942,0,0
1,1,10,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.14703,0.14703,0.00022584,0,0
2,1,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.106104,0.106104,0.000138973,0,0
4,1,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0856591,0.0856591,0.000103897,0,0
8,1,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0906325,0.0906325,0.000164984,0,0
4,2,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0770676,0.0770676,0.000129235,0,0
4,4,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0783284,0.0783284,0.000112596,0,0
4,8,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0756471,0.0756471,0.00014241,0,0
4,8,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0741451,0.0741451,0.000115302,0,0
4,8,1,64,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0748366,0.0748366,0.000200669,0,0
4,8,1,128,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0758397,0.0758397,0.000137493,0,0
4,8,1,32,1024000,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0794716,0.0794716,0.00011097,0,0
4,8,1,32,1024000,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0757885,0.0757885,0.000172011,0,0
4,8,1,32,1024000,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0770334,0.0770334,0.000244575,0,0
4,8,1,32,1024000,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.17215,0.17215,0.000162634,0,0
4,8,2,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0801418,0.0801418,0.000238614,0,0
4,8,4,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0783287,0.0783287,0.000158241,0,0
4,8,10,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0801023,0.0801023,0.000122258,0,0
1,8,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.143644,0.143644,0.000277948,0,0
2,8,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.116581,0.116581,0.000153377,0,0
8,8,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0635504,0.0635504,0.000111404,0,0
8,1,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0874516,0.0874516,0.000148082,0,0
8,2,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0802656,0.0802656,0.00025111,0,0
8,4,1,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0642133,0.0642133,0.000149628,0,0
8,8,1,16,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.078954,0.078954,0.000187807,0,0
8,8,1,64,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0711264,0.0711264,0.000174457,0,0
8,8,1,128,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0767624,0.0767624,0.000161903,0,0
8,8,1,32,1024000,array,false,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0706237,0.0706237,0.000161197,0,0
8,8,1,32,1024000,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0694357,0.0694357,0.000190297,0,0
8,8,1,32,1024000,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.072877,0.072877,0.000136944,0,0
8,8,1,32,1024000,array,true,false,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.145941,0.145941,0.000214627,0,0
8,8,2,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0708188,0.0708188,0.000163459,0,0
8,8,4,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0712652,0.0712652,0.000204997,0,0
8,8,10,32,1024000,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,0.0664517,0.0664517,0.000131905,0,0
