KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.720548,0.720548,0.000148913,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.742897,0.742897,0.000112593,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.813017,0.813017,0.000228469,0,0
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.732922,0.732922,9.6518e-05,0,0
1,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.731623,0.731623,0.000100165,0,0
1,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.722707,0.722707,0.00012704,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.71969,0.71969,0.000121004,0,0
1,2,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.752755,0.752755,0.000177987,0,0
1,4,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.828188,0.828188,0.000199027,0,0
1,8,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.801158,0.801158,0.000102655,0,0
2,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.710824,0.710824,0.000123749,0,0
4,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.701287,0.701287,0.000133227,0,0
8,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.696751,0.696751,0.000122194,0,0
8,1,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.684175,0.684175,0.000120172,0,0
8,1,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.677351,0.677351,0.000117072,0,0
8,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.677152,0.677152,6.8957e-05,0,0
8,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.677935,0.677935,0.000135207,0,0
8,1,10,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.689008,0.689008,0.000124876,0,0
8,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.676653,0.676653,0.000120659,0,0
8,1,1,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.707257,0.707257,0.000129485,0,0
8,1,2,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.710316,0.710316,0.000125576,0,0
8,1,4,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.749076,0.749076,0.000124408,0,0
8,2,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.744262,0.744262,0.000151656,0,0
8,4,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.774305,0.774305,0.000115491,0,0
8,8,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.80817,0.80817,0.000117911,0,0
1,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.700499,0.700499,0.000127739,0,0
2,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.692354,0.692354,0.000119262,0,0
4,1,10,64,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.680939,0.680939,0.000117433,0,0
8,1,10,16,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.676002,0.676002,0.000122992,0,0
8,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.674555,0.674555,0.000110496,0,0
8,1,10,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.674777,0.674777,8.2657e-05,0,0
8,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.679924,0.679924,0.000111062,0,0
8,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.690049,0.690049,0.00012002,0,0
8,1,10,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.685038,0.685038,0.000121993,0,0
8,1,1,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.707157,0.707157,0.000114579,0,0
8,1,2,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.710283,0.710283,0.000112366,0,0
8,1,4,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.751491,0.751491,0.000117374,0,0
8,2,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.743513,0.743513,0.000112051,0,0
8,4,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.776701,0.776701,0.000173112,0,0
8,8,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.81048,0.81048,0.00014135,0,0
1,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.701904,0.701904,0.000132513,0,0
2,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.690074,0.690074,0.00012051,0,0
4,1,10,32,array,false,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.68213,0.68213,0.000120111,0,0
