KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.81087,5.81087,0.000150515,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.82795,5.82795,0.000301676,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.90256,5.90256,0.000182442,0,0
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.9841,5.9841,0.000158976,0,0
1,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.79766,5.79766,0.000167369,0,0
1,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.79813,5.79813,0.000157267,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.80026,5.80026,0.000159027,0,0
1,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.45032,5.45032,0.000146564,0,0
1,4,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.96539,5.96539,0.000193668,0,0
1,8,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.00252,6.00252,0.000191256,0,0
2,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.40808,5.40808,0.000246246,0,0
4,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.39619,5.39619,0.000181045,0,0
8,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.39863,5.39863,0.000181618,0,0
4,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.31578,5.31578,0.000194129,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.27786,5.27786,0.000182956,0,0
4,2,2,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.31586,5.31586,7.5358e-05,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.27801,5.27801,0.000163815,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.32141,5.32141,0.000191619,0,0
