KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.79585,5.79585,0.000102071,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.83366,5.83366,0.000182265,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.91143,5.91143,0.000317835,0,0
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.00138,6.00138,0.000202263,0,0
1,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.79659,5.79659,0.000171026,0,0
1,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.8103,5.8103,0.000278723,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.80541,5.80541,0.000422529,0,0
1,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.43626,5.43626,0.000182618,0,0
1,4,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.268,6.268,0.000185999,0,0
1,8,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,6.23004,6.23004,0.000254863,0,0
2,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.4158,5.4158,0.000199832,0,0
4,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.39862,5.39862,0.00020773,0,0
8,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.39276,5.39276,0.000185151,0,0
8,2,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.30837,5.30837,0.000193951,0,0
8,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.27118,5.27118,0.000157908,0,0
8,2,1,64,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,5.31202,5.31202,8.6494e-05,0,0
8,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.26928,5.26928,0.000156167,0,0
8,2,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.28154,5.28154,0.000205933,0,0
8,2,1,64,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.57625,5.57625,0.000184725,0,0
8,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.26595,5.26595,0.000179287,0,0
8,2,4,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.27201,5.27201,0.000183939,0,0
8,2,10,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.64048,5.64048,0.000230981,0,0
8,1,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.66326,5.66326,0.000228597,0,0
8,4,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.83236,5.83236,0.000190682,0,0
8,8,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.82959,5.82959,0.000234945,0,0
1,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.39467,5.39467,0.000203235,0,0
2,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.32227,5.32227,0.00017983,0,0
4,2,2,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.28239,5.28239,0.000238677,0,0
8,2,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.41729,5.41729,0.000223091,0,0
8,2,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.31303,5.31303,0.00023697,0,0
8,2,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.23373,5.23373,0.000216614,0,0
8,2,2,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.27143,5.27143,0.000240413,0,0
8,2,2,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,5.24943,5.24943,8.6392e-05,0,0
8,2,2,128,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.57282,5.57282,0.000182135,0,0
8,2,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.2286,5.2286,0.000176127,0,0
8,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.22595,5.22595,0.000179695,0,0
8,2,10,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.6164,5.6164,0.000185767,0,0
8,1,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.64417,5.64417,0.00021439,0,0
8,4,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.63358,5.63358,0.000189395,0,0
8,8,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.76754,5.76754,0.000227428,0,0
1,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.33248,5.33248,0.000312438,0,0
2,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.28194,5.28194,0.00023548,0,0
4,2,4,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.24059,5.24059,0.000238306,0,0
8,2,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.41922,5.41922,0.000209014,0,0
8,2,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,5.30854,5.30854,0.000240188,0,0
