KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.8264,4.8264,8.5286e-05,0,0
1,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.51209,4.51209,0.000148699,0,0
1,1,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.4619,4.4619,0.000161897,0,0
1,1,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.2129,4.2129,0.000133723,0,0
1,1,2,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.17959,4.17959,0.000127006,0,0
1,1,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.1773,4.1773,0.000124309,0,0
1,1,10,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.29562,4.29562,0.000135834,0,0
2,1,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22306,3.22306,0.00017442,0,0
4,1,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.09285,3.09285,0.000112932,0,0
8,1,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.85974,2.85974,0.000156097,0,0
8,2,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.92942,2.92942,0.000140159,0,0
8,4,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.72062,2.72062,0.000157339,0,0
8,8,4,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.64022,2.64022,0.00028241,0,0
