KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,OPTIMIZATION_FLAGS,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.817238,0.817238,8.4004e-05,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.790334,0.790334,9.2183e-05,0,0
1,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.755993,0.755993,8.9061e-05,0,0
1,1,1,16,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.49497,1.49497,7.4035e-05,0,0
1,1,2,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.760823,0.760823,9.1721e-05,0,0
1,1,4,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.762324,0.762324,7.7518e-05,0,0
1,1,10,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.761369,0.761369,9.6093e-05,0,0
1,2,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.758882,0.758882,7.9723e-05,0,0
1,4,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.86081,0.86081,8.3105e-05,0,0
1,8,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.870639,0.870639,8.3489e-05,0,0
2,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.754562,0.754562,7.6318e-05,0,0
4,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.753702,0.753702,7.9471e-05,0,0
8,1,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.750228,0.750228,9.1937e-05,0,0
8,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.749164,0.749164,7.748e-05,0,0
8,1,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.780741,0.780741,7.7449e-05,0,0
8,1,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.784524,0.784524,7.7241e-05,0,0
8,1,1,32,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.763772,0.763772,8.0553e-05,0,0
8,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,64,0.779667,0.779667,7.7673e-05,0,0
8,1,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,128,0.763222,0.763222,7.7499e-05,0,0
8,1,1,32,array,true,false,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,1.48437,1.48437,9.2659e-05,0,0
8,1,2,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.749671,0.749671,8.8885e-05,0,0
8,1,4,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.751445,0.751445,8.6373e-05,0,0
8,1,10,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.751476,0.751476,8.1756e-05,0,0
8,2,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.828643,0.828643,7.7444e-05,0,0
8,4,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.749447,0.749447,9.1501e-05,0,0
8,8,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.748778,0.748778,7.6269e-05,0,0
1,8,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.854827,0.854827,7.7593e-05,0,0
2,8,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.748345,0.748345,7.8024e-05,0,0
4,8,1,32,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.748532,0.748532,7.8046e-05,0,0
2,8,1,16,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.762368,0.762368,7.9444e-05,0,0
2,8,1,64,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.742338,0.742338,7.75e-05,0,0
2,8,1,128,array,true,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.739601,0.739601,9.7561e-05,0,0
2,8,1,128,array,false,true,-cl-unsafe-math-optimizations -cl-denorms-are-zero,256,0.755372,0.755372,7.8409e-05,0,0
