SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,28.8896,28.8896,1.89258,0,0
0,0,0.100000,32,0,4,23.9038,23.9038,1.84534,0,0
0,0,0.100000,64,0,4,22.5231,22.5231,1.85643,0,0
0,0,0.100000,128,0,4,22.2353,22.2353,1.82776,0,0
0,0,0.100000,256,0,4,22.6206,22.6206,1.84653,0,0
0,0,0.100000,512,0,4,23.4941,23.4941,1.82305,0,0
0,1,0.100000,128,0,4,22.6857,22.6857,1.84827,0,0
0,0,0.100000,128,1,4,21.5581,21.5581,1.90661,0,0
0,0,0.200000,128,1,4,21.0389,21.0389,1.92383,0,0
0,0,0.300000,128,1,4,21.4604,21.4604,1.93181,0,0
1,0,0.200000,128,1,4,9.891,9.891,1.94387,0,0
1,0,0.200000,16,1,4,15.4756,15.4756,1.93354,0,0
1,0,0.200000,32,1,4,11.6886,11.6886,1.94668,0,0
1,0,0.200000,64,1,4,10.5661,10.5661,1.94256,0,0
1,0,0.200000,256,1,4,9.76459,9.76459,1.94155,0,0
1,0,0.200000,512,1,4,9.80968,9.80968,1.94058,0,0
1,1,0.200000,256,1,4,9.77088,9.77088,1.9266,0,0
1,0,0.200000,256,0,4,9.58028,9.58028,1.8519,0,0
1,0,0.100000,256,0,4,9.47817,9.47817,1.85003,0,0
1,0,0.300000,256,0,4,9.40711,9.40711,1.84081,0,0
0,0,0.300000,256,0,4,22.7938,22.7938,1.84948,0,0
1,0,0.300000,16,0,4,13.8683,13.8683,1.87227,0,0
1,0,0.300000,32,0,4,10.4352,10.4352,1.84769,0,0
1,0,0.300000,64,0,4,9.52247,9.52247,1.85082,0,0
1,0,0.300000,128,0,4,9.35677,9.35677,1.85556,0,0
1,0,0.300000,512,0,4,9.7881,9.7881,1.86509,0,0
1,1,0.300000,128,0,4,9.55944,9.55944,1.84561,0,0
1,0,0.300000,128,1,4,10.1175,10.1175,1.96381,0,0
1,0,0.100000,128,0,4,9.39176,9.39176,1.85827,0,0
1,0,0.200000,128,0,4,9.34898,9.34898,1.85634,0,0
0,0,0.200000,128,0,4,22.4116,22.4116,1.86299,0,0
1,0,0.200000,16,0,4,14.0635,14.0635,1.86599,0,0
1,0,0.200000,32,0,4,10.941,10.941,1.85986,0,0
1,0,0.200000,64,0,4,10.2666,10.2666,1.85259,0,0
1,0,0.200000,512,0,4,9.72105,9.72105,1.85548,0,0
1,1,0.200000,128,0,4,9.44148,9.44148,2.17498,0,0
