SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.200000,16,0,4,13.7943,13.7943,1.88294,0,0
1,0,0.100000,256,0,4,9.47802,9.47802,1.88436,0,0
1,1,0.100000,128,1,8,9.64777,9.64777,1.95949,0,0
1,0,0.100000,512,0,8,9.38445,9.38445,1.87199,0,0
1,0,0.300000,64,1,4,10.162,10.162,1.96573,0,0
0,0,0.100000,128,1,8,21.1042,21.1042,1.91749,0,0
0,0,0.300000,128,0,8,22.3147,22.3147,1.85169,0,0
0,0,0.100000,32,1,4,21.8328,21.8328,1.91612,0,0
0,0,0.200000,128,1,4,20.7705,20.7705,1.93484,0,0
0,1,0.200000,128,0,8,22.4603,22.4603,1.86593,0,0
1,1,0.100000,128,0,8,9.66267,9.66267,1.88111,0,0
0,1,0.300000,32,0,4,24.6236,24.6236,1.87845,0,0
0,1,0.300000,128,0,4,22.5854,22.5854,1.85748,0,0
1,0,0.200000,16,1,8,15.4455,15.4455,1.96523,0,0
1,1,0.200000,256,0,8,9.42285,9.42285,1.84839,0,0
1,0,0.300000,32,0,4,11.6573,11.6573,1.87853,0,0
0,0,0.200000,128,0,8,22.2786,22.2786,1.86282,0,0
1,1,0.300000,256,0,8,9.48033,9.48033,1.87999,0,0
1,0,0.100000,256,1,8,9.56347,9.56347,1.95743,0,0
1,0,0.100000,64,1,4,10.4436,10.4436,1.95773,0,0
1,1,0.200000,128,0,4,9.62602,9.62602,1.86562,0,0
0,1,0.200000,512,0,4,23.0595,23.0595,1.8699,0,0
0,0,0.300000,512,1,8,22.1184,22.1184,1.94157,0,0
0,1,0.100000,128,0,8,22.5634,22.5634,1.87095,0,0
1,0,0.200000,256,1,4,9.81583,9.81583,1.96181,0,0
1,0,0.200000,32,1,8,11.5607,11.5607,1.96074,0,0
0,1,0.100000,32,1,8,22.1029,22.1029,1.92654,0,0
0,0,0.100000,16,1,4,25.107,25.107,1.9539,0,0
1,0,0.200000,512,1,8,10.0386,10.0386,1.93822,0,0
1,1,0.300000,32,0,8,10.664,10.664,1.88802,0,0
0,1,0.300000,64,0,4,22.3971,22.3971,1.84303,0,0
1,1,0.200000,128,1,8,9.74139,9.74139,1.95722,0,0
1,1,0.200000,64,0,4,9.91741,9.91741,1.85554,0,0
0,1,0.200000,64,0,8,22.8023,22.8023,1.82407,0,0
1,0,0.300000,256,0,8,9.42906,9.42906,1.86204,0,0
0,0,0.300000,16,0,8,27.2188,27.2188,1.8568,0,0
0,0,0.200000,16,0,4,28.2465,28.2465,1.86527,0,0
1,1,0.300000,512,0,4,9.84568,9.84568,1.86189,0,0
0,0,0.100000,64,1,8,21.7127,21.7127,1.94092,0,0
1,0,0.100000,64,0,8,9.73548,9.73548,1.88259,0,0
0,1,0.200000,64,1,8,20.7278,20.7278,1.92064,0,0
0,1,0.100000,256,0,4,22.587,22.587,1.86195,0,0
0,0,0.200000,256,1,8,21.2127,21.2127,1.90954,0,0
1,0,0.200000,64,1,4,10.3061,10.3061,1.9461,0,0
0,0,0.300000,64,1,4,21.5827,21.5827,1.95093,0,0
0,0,0.200000,32,0,8,24.5328,24.5328,1.87774,0,0
0,0,0.300000,256,1,4,21.0888,21.0888,1.94346,0,0
0,0,0.100000,16,0,4,26.3234,26.3234,1.88198,0,0
1,1,0.100000,32,1,4,12.3934,12.3934,1.96478,0,0
0,1,0.100000,256,1,8,21.242,21.242,1.94482,0,0
1,0,0.100000,128,1,4,10.0868,10.0868,1.93051,0,0
1,0,0.200000,64,0,4,10.1516,10.1516,1.86306,0,0
0,1,0.300000,512,0,4,23.2207,23.2207,1.85038,0,0
1,1,0.300000,16,0,8,15.4492,15.4492,1.89669,0,0
0,0,0.100000,512,0,4,23.1835,23.1835,1.86392,0,0
1,0,0.300000,128,0,4,9.36133,9.36133,1.86649,0,0
0,0,0.100000,128,0,4,22.3478,22.3478,1.83649,0,0
1,1,0.300000,16,1,8,14.9437,14.9437,1.97434,0,0
0,0,0.200000,16,1,4,25.7484,25.7484,1.92939,0,0
0,0,0.100000,256,1,8,21.1783,21.1783,1.94194,0,0
0,1,0.200000,16,0,4,28.4491,28.4491,1.88833,0,0
0,0,0.300000,64,0,4,23.1666,23.1666,1.85214,0,0
1,0,0.100000,32,0,4,11.3262,11.3262,1.88196,0,0
1,1,0.300000,128,1,8,9.85979,9.85979,1.95844,0,0
1,1,0.300000,32,1,8,12.7541,12.7541,1.93785,0,0
0,0,0.300000,256,0,8,22.557,22.557,1.85655,0,0
0,0,0.200000,64,1,8,21.4505,21.4505,1.97418,0,0
0,0,0.200000,32,1,4,23.1953,23.1953,1.9478,0,0
1,1,0.100000,256,0,8,9.58564,9.58564,1.86677,0,0
1,0,0.200000,512,0,8,9.57175,9.57175,1.86226,0,0
1,0,0.100000,16,0,4,15.1619,15.1619,1.8746,0,0
1,0,0.300000,16,0,8,14.9083,14.9083,2.00737,0,0
0,0,0.100000,256,0,8,22.6628,22.6628,1.8626,0,0
