SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,3.27686,3.27686,2.08016,0,0
0,0,0.100000,32,0,4,3.15034,3.15034,2.01201,0,0
0,1,0.100000,16,0,4,3.47475,3.47475,2.06216,0,0
0,0,0.100000,16,1,4,3.17112,3.17112,2.16359,0,0
0,0,0.200000,16,0,4,3.25659,3.25659,2.03529,0,0
1,0,0.100000,16,0,4,2.25343,2.25343,2.03772,0,0
1,0,0.100000,32,0,4,1.79647,1.79647,2.03451,0,0
1,1,0.100000,16,0,4,2.24545,2.24545,2.09674,0,0
1,0,0.100000,16,1,4,2.10094,2.10094,2.12098,0,0
1,0,0.200000,16,0,4,2.25837,2.25837,2.04218,0,0
1,0,0.100000,64,0,4,1.52013,1.52013,2.05523,0,0
1,1,0.100000,32,0,4,1.84191,1.84191,2.02623,0,0
1,0,0.100000,32,1,4,1.76529,1.76529,2.10416,0,0
1,0,0.200000,32,0,4,1.79245,1.79245,2.00323,0,0
1,0,0.100000,128,0,4,1.36883,1.36883,2.06617,0,0
1,1,0.100000,64,0,4,1.51706,1.51706,2.05581,0,0
1,0,0.100000,64,1,4,1.40633,1.40633,2.08991,0,0
1,0,0.200000,64,0,4,1.43416,1.43416,2.04334,0,0
0,0,0.100000,64,0,4,2.89429,2.89429,2.05933,0,0
1,0,0.100000,256,0,4,1.21939,1.21939,2.05327,0,0
1,1,0.100000,128,0,4,1.2734,1.2734,1.99708,0,0
1,0,0.100000,128,1,4,1.29783,1.29783,2.13617,0,0
1,0,0.200000,128,0,4,1.3406,1.3406,2.04605,0,0
0,0,0.100000,128,0,4,2.67497,2.67497,2.06427,0,0
1,0,0.100000,512,0,4,1.19916,1.19916,2.04065,0,0
1,1,0.100000,256,0,4,1.20594,1.20594,2.00995,0,0
1,0,0.100000,256,1,4,1.23815,1.23815,2.10057,0,0
1,0,0.200000,256,0,4,1.26594,1.26594,2.04213,0,0
0,0,0.100000,256,0,4,2.63028,2.63028,2.02462,0,0
1,1,0.100000,512,0,4,1.10936,1.10936,2.07472,0,0
1,0,0.100000,512,1,4,1.11064,1.11064,2.10724,0,0
1,0,0.200000,512,0,4,1.14001,1.14001,2.08577,0,0
0,0,0.100000,512,0,4,2.70995,2.70995,1.98196,0,0
1,1,0.100000,512,1,4,1.05601,1.05601,2.14636,0,0
1,1,0.200000,512,0,4,1.0761,1.0761,1.99724,0,0
0,1,0.100000,512,0,4,2.60404,2.60404,2.00286,0,0
1,1,0.100000,256,1,4,1.11039,1.11039,2.07283,0,0
1,1,0.200000,512,1,4,1.07968,1.07968,2.09194,0,0
0,1,0.100000,512,1,4,2.45979,2.45979,2.10788,0,0
