SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,24.9793,24.9793,1.8867,0,0
0,0,0.100000,32,0,4,23.9167,23.9167,1.86666,0,0
0,1,0.100000,16,0,4,28.0186,28.0186,1.85845,0,0
0,0,0.100000,16,1,4,26.6431,26.6431,1.93633,0,0
0,0,0.200000,16,0,4,28.1049,28.1049,1.86881,0,0
1,0,0.100000,16,0,4,15.2108,15.2108,1.89516,0,0
1,0,0.100000,32,0,4,11.612,11.612,1.85256,0,0
1,1,0.100000,16,0,4,14.9585,14.9585,1.88247,0,0
1,0,0.100000,16,1,4,15.9252,15.9252,1.96108,0,0
1,0,0.200000,16,0,4,15.3094,15.3094,1.87958,0,0
1,0,0.100000,64,0,4,9.6714,9.6714,1.85906,0,0
1,1,0.100000,32,0,4,12.1018,12.1018,2.20369,0,0
1,0,0.100000,32,1,4,12.0182,12.0182,1.93279,0,0
1,0,0.200000,32,0,4,11.729,11.729,1.85535,0,0
1,0,0.100000,128,0,4,9.55271,9.55271,1.85741,0,0
1,1,0.100000,64,0,4,10.2888,10.2888,1.85679,0,0
1,0,0.100000,64,1,4,10.5517,10.5517,1.93254,0,0
1,0,0.200000,64,0,4,9.50443,9.50443,1.85985,0,0
0,0,0.100000,64,0,4,22.9354,22.9354,1.85837,0,0
1,0,0.200000,128,0,4,9.34871,9.34871,1.86795,0,0
1,1,0.200000,64,0,4,10.6486,10.6486,1.86057,0,0
1,0,0.200000,64,1,4,10.7622,10.7622,1.95379,0,0
1,0,0.300000,64,0,4,10.1215,10.1215,1.87038,0,0
0,0,0.200000,64,0,4,23.0172,23.0172,1.86794,0,0
1,0,0.200000,256,0,4,9.7113,9.7113,1.86468,0,0
1,1,0.200000,128,0,4,9.95034,9.95034,1.8521,0,0
1,0,0.200000,128,1,4,10.1617,10.1617,1.9555,0,0
1,0,0.300000,128,0,4,9.69264,9.69264,1.86069,0,0
0,0,0.200000,128,0,4,22.3631,22.3631,1.87081,0,0
