SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,2.09935,2.09935,1.62005,0,0
0,0,0.100000,32,0,4,2.70188,2.70188,1.64238,0,0
0,0,0.100000,64,0,4,2.62796,2.62796,1.7198,0,0
0,0,0.100000,128,0,4,2.44417,2.44417,1.62329,0,0
0,0,0.100000,256,0,4,2.30203,2.30203,1.62281,0,0
0,0,0.100000,512,0,4,2.31425,2.31425,1.63157,0,0
0,1,0.100000,16,0,4,2.08605,2.08605,1.62407,0,0
0,1,0.100000,16,1,4,2.06882,2.06882,1.66931,0,0
0,1,0.200000,16,1,4,2.08451,2.08451,1.7203,0,0
0,1,0.300000,16,1,4,2.06386,2.06386,1.68955,0,0
1,1,0.300000,16,1,4,1.03886,1.03886,1.71715,0,0
1,1,0.300000,32,1,4,1.08473,1.08473,1.69108,0,0
1,1,0.300000,64,1,4,0.973759,0.973759,1.64952,0,0
1,1,0.300000,128,1,4,0.839257,0.839257,1.6692,0,0
1,1,0.300000,256,1,4,0.772425,0.772425,1.67738,0,0
1,1,0.300000,512,1,4,0.755478,0.755478,1.67961,0,0
1,0,0.300000,512,1,4,0.840441,0.840441,1.68478,0,0
1,1,0.300000,512,0,4,0.748922,0.748922,1.68435,0,0
1,1,0.100000,512,0,4,0.749498,0.749498,1.62668,0,0
1,1,0.200000,512,0,4,0.748172,0.748172,1.62975,0,0
0,1,0.200000,512,0,4,2.30004,2.30004,1.61502,0,0
1,1,0.200000,16,0,4,0.843574,0.843574,1.61232,0,0
1,1,0.200000,32,0,4,0.984046,0.984046,1.61341,0,0
1,1,0.200000,64,0,4,0.9227,0.9227,1.60036,0,0
1,1,0.200000,128,0,4,0.834876,0.834876,1.61599,0,0
1,1,0.200000,256,0,4,0.795555,0.795555,1.59079,0,0
1,0,0.200000,512,0,4,0.761203,0.761203,1.60028,0,0
1,1,0.200000,512,1,4,0.754534,0.754534,1.73693,0,0
