SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.200000,128,1,8,0.830353,0.830353,1.6611,0,0
1,0,0.200000,16,1,8,0.933464,0.933464,1.67847,0,0
1,0,0.100000,32,1,8,0.981282,0.981282,1.70881,0,0
1,0,0.200000,256,1,4,0.772371,0.772371,1.66489,0,0
0,1,0.200000,32,0,4,2.1167,2.1167,1.58211,0,0
0,1,0.200000,512,1,8,2.11898,2.11898,1.73384,0,0
1,1,0.300000,64,1,4,0.960657,0.960657,1.70947,0,0
1,0,0.300000,256,1,4,0.774371,0.774371,1.70775,0,0
1,1,0.200000,16,0,4,0.791003,0.791003,1.60678,0,0
1,0,0.100000,16,1,8,0.930616,0.930616,1.69889,0,0
1,1,0.200000,512,0,4,0.745943,0.745943,1.60705,0,0
1,1,0.100000,32,0,8,0.925411,0.925411,1.58767,0,0
1,0,0.100000,256,1,8,0.770679,0.770679,1.67165,0,0
1,1,0.100000,256,1,8,0.762901,0.762901,1.68557,0,0
0,0,0.200000,16,1,4,2.12388,2.12388,1.66565,0,0
0,0,0.100000,256,0,4,2.3097,2.3097,1.6207,0,0
0,1,0.200000,64,1,4,2.21482,2.21482,1.67137,0,0
0,0,0.300000,128,0,8,2.44685,2.44685,1.66046,0,0
1,0,0.300000,32,1,8,0.969385,0.969385,1.72293,0,0
0,0,0.300000,16,1,8,1.894,1.894,1.72567,0,0
0,1,0.300000,128,1,8,2.03386,2.03386,1.64285,0,0
1,0,0.300000,128,0,8,0.850995,0.850995,1.59454,0,0
0,0,0.300000,64,0,8,2.62782,2.62782,1.62928,0,0
0,1,0.200000,32,1,4,2.00691,2.00691,1.69734,0,0
0,0,0.100000,128,0,8,2.4575,2.4575,1.60174,0,0
1,0,0.300000,16,1,8,0.999882,0.999882,1.71052,0,0
0,0,0.300000,32,1,4,1.96971,1.96971,1.68421,0,0
0,0,0.100000,128,1,8,2.00525,2.00525,1.68207,0,0
1,0,0.300000,512,0,4,0.773581,0.773581,1.63749,0,0
1,1,0.100000,128,0,4,0.865985,0.865985,1.62311,0,0
1,1,0.100000,16,0,8,0.787459,0.787459,1.66175,0,0
0,0,0.300000,64,1,8,2.22924,2.22924,1.67342,0,0
1,0,0.200000,128,1,8,0.833458,0.833458,1.71713,0,0
0,0,0.100000,64,1,4,2.30022,2.30022,1.65284,0,0
0,0,0.100000,512,1,8,2.12167,2.12167,1.69654,0,0
0,1,0.300000,16,0,8,2.04137,2.04137,1.64569,0,0
1,1,0.300000,16,1,8,0.926578,0.926578,1.72494,0,0
1,0,0.300000,128,1,8,0.832475,0.832475,1.69167,0,0
1,1,0.300000,32,0,4,0.925901,0.925901,1.59131,0,0
0,0,0.200000,64,1,4,2.23347,2.23347,1.67813,0,0
0,1,0.300000,64,0,4,2.59395,2.59395,1.66823,0,0
1,1,0.100000,128,1,8,0.834813,0.834813,1.69186,0,0
0,0,0.200000,32,1,4,1.99453,1.99453,1.71563,0,0
1,1,0.300000,256,1,8,0.857771,0.857771,1.68454,0,0
1,1,0.200000,32,0,4,0.922745,0.922745,1.60621,0,0
1,0,0.300000,512,1,8,0.769623,0.769623,1.6869,0,0
0,0,0.200000,32,0,8,2.08618,2.08618,1.60029,0,0
1,1,0.200000,64,0,8,0.905155,0.905155,1.6388,0,0
0,1,0.100000,64,0,8,2.6067,2.6067,1.62838,0,0
1,1,0.300000,256,0,8,0.766013,0.766013,1.62293,0,0
0,0,0.300000,256,1,4,2.03515,2.03515,1.67819,0,0
0,0,0.100000,32,0,8,2.11138,2.11138,1.65192,0,0
1,0,0.200000,64,1,8,0.941973,0.941973,1.70081,0,0
0,0,0.200000,256,1,8,2.08874,2.08874,1.70976,0,0
1,0,0.200000,512,0,4,0.773073,0.773073,1.62305,0,0
0,0,0.300000,16,0,4,2.03602,2.03602,1.65057,0,0
0,1,0.100000,256,1,4,2.1117,2.1117,1.69619,0,0
0,1,0.100000,512,0,8,2.32204,2.32204,1.57564,0,0
0,1,0.100000,16,1,4,1.89024,1.89024,1.73256,0,0
0,1,0.100000,32,1,8,2.06465,2.06465,1.66871,0,0
1,0,0.200000,64,0,4,0.924377,0.924377,1.63793,0,0
0,0,0.300000,512,1,8,2.0993,2.0993,1.69809,0,0
0,0,0.300000,256,0,8,2.31357,2.31357,1.63674,0,0
1,1,0.300000,64,0,4,0.911881,0.911881,1.61482,0,0
1,1,0.200000,256,1,4,0.763556,0.763556,1.66538,0,0
0,1,0.200000,128,0,8,2.50676,2.50676,1.59228,0,0
1,0,0.100000,32,0,4,0.962639,0.962639,1.65314,0,0
1,1,0.200000,32,1,8,0.915434,0.915434,1.71769,0,0
