SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.300000,256,0,4,20.3516,20.3516,1.48766,0,0
0,1,0.100000,16,1,4,19.1752,19.1752,1.57839,0,0
1,0,0.200000,512,1,8,7.52908,7.52908,1.55904,0,0
1,1,0.300000,256,1,4,7.0032,7.0032,1.55559,0,0
0,1,0.300000,128,1,4,18.1321,18.1321,1.54278,0,0
0,1,0.200000,128,0,8,19.9282,19.9282,1.45026,0,0
1,0,0.300000,16,0,8,7.7958,7.7958,1.51624,0,0
1,1,0.300000,512,1,8,7.6148,7.6148,1.54529,0,0
0,0,0.300000,512,0,4,21.0617,21.0617,1.47921,0,0
0,0,0.100000,256,1,8,18.4408,18.4408,1.55271,0,0
1,1,0.200000,64,0,8,6.50284,6.50284,1.45689,0,0
0,1,0.100000,32,1,4,18.4055,18.4055,1.54473,0,0
0,1,0.300000,32,1,8,18.3578,18.3578,1.54927,0,0
0,0,0.300000,32,0,4,19.3991,19.3991,1.49064,0,0
1,1,0.100000,64,0,4,6.4748,6.4748,1.48369,0,0
1,0,0.300000,64,1,8,7.08336,7.08336,1.5696,0,0
1,0,0.100000,512,0,4,7.51862,7.51862,1.4591,0,0
0,0,0.300000,64,1,4,17.9679,17.9679,1.54924,0,0
0,1,0.300000,512,0,4,20.9926,20.9926,1.46307,0,0
0,1,0.300000,512,1,8,19.6491,19.6491,1.54808,0,0
1,1,0.100000,32,1,4,7.92599,7.92599,1.57681,0,0
0,0,0.100000,512,0,8,20.9822,20.9822,1.47215,0,0
1,0,0.100000,128,1,8,6.94346,6.94346,1.55743,0,0
0,0,0.100000,64,0,4,19.7642,19.7642,1.49069,0,0
0,0,0.200000,64,1,4,17.9664,17.9664,1.54279,0,0
0,1,0.100000,512,1,4,19.8315,19.8315,1.53552,0,0
1,1,0.200000,16,1,4,9.91782,9.91782,1.56361,0,0
0,1,0.200000,32,0,4,19.3007,19.3007,1.50367,0,0
0,0,0.100000,128,0,4,19.9843,19.9843,1.46805,0,0
0,0,0.300000,64,0,4,20.4053,20.4053,1.47952,0,0
1,0,0.100000,16,1,4,9.75282,9.75282,1.58505,0,0
0,0,0.200000,64,0,8,19.7692,19.7692,1.47957,0,0
1,1,0.300000,32,0,8,6.87866,6.87866,1.505,0,0
1,0,0.300000,512,1,8,7.46972,7.46972,1.94333,0,0
1,1,0.200000,16,0,4,7.79861,7.79861,1.50943,0,0
1,1,0.100000,256,1,8,7.0131,7.0131,1.5834,0,0
1,1,0.100000,128,0,8,6.71192,6.71192,1.50012,0,0
0,0,0.100000,512,1,4,19.4823,19.4823,1.55818,0,0
0,0,0.300000,16,0,8,19.9383,19.9383,1.49059,0,0
0,0,0.200000,512,1,4,19.4241,19.4241,1.55073,0,0
1,0,0.300000,512,0,8,7.27447,7.27447,1.49135,0,0
1,1,0.200000,512,1,4,7.467,7.467,1.5673,0,0
0,1,0.300000,256,0,4,20.1501,20.1501,1.49269,0,0
0,1,0.200000,512,1,4,19.7736,19.7736,1.55659,0,0
1,1,0.300000,16,1,4,9.81248,9.81248,1.57698,0,0
0,1,0.300000,16,1,4,19.858,19.858,1.57525,0,0
0,1,0.100000,64,0,8,19.6291,19.6291,1.46979,0,0
0,0,0.200000,128,0,8,19.9349,19.9349,1.47824,0,0
1,0,0.100000,32,1,8,7.8089,7.8089,1.5634,0,0
1,0,0.300000,32,1,4,7.85535,7.85535,1.55467,0,0
1,0,0.200000,64,1,4,7.10807,7.10807,1.76146,0,0
0,1,0.200000,64,0,8,19.7285,19.7285,1.48996,0,0
1,1,0.300000,32,1,4,7.99239,7.99239,1.79809,0,0
0,1,0.100000,256,1,4,18.9536,18.9536,1.55975,0,0
0,0,0.200000,32,1,8,18.3161,18.3161,1.55553,0,0
1,0,0.200000,16,0,4,7.86194,7.86194,1.50925,0,0
1,0,0.100000,64,0,4,6.53861,6.53861,1.49348,0,0
0,1,0.100000,128,1,8,18.168,18.168,1.55507,0,0
1,1,0.100000,16,1,8,9.59363,9.59363,1.58076,0,0
0,1,0.100000,16,0,4,19.8723,19.8723,1.50621,0,0
1,1,0.100000,16,0,4,7.82499,7.82499,1.52104,0,0
0,0,0.100000,16,1,4,18.8822,18.8822,1.56222,0,0
0,1,0.300000,64,0,4,19.8963,19.8963,1.45835,0,0
1,0,0.200000,64,0,4,6.4864,6.4864,1.50253,0,0
1,0,0.200000,256,0,8,6.801,6.801,1.48413,0,0
0,0,0.300000,32,1,4,18.1945,18.1945,1.56579,0,0
1,1,0.200000,128,1,4,6.91448,6.91448,1.56639,0,0
0,0,0.200000,512,0,4,21.0706,21.0706,1.46818,0,0
0,1,0.300000,64,1,4,18.2596,18.2596,1.55299,0,0
0,0,0.100000,32,0,8,19.4543,19.4543,1.48637,0,0
1,1,0.300000,128,0,4,6.7176,6.7176,1.49603,0,0
1,0,0.100000,256,0,8,6.77108,6.77108,1.49026,0,0
1,0,0.200000,32,1,8,7.81059,7.81059,1.55775,0,0
1,1,0.100000,512,0,4,7.30375,7.30375,1.48665,0,0
1,1,0.200000,128,0,4,6.6947,6.6947,1.48182,0,0
