SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,2.14475,2.14475,1.6843,0,0
0,0,0.100000,32,0,4,1.96206,1.96206,1.60059,0,0
0,1,0.100000,16,0,4,1.98043,1.98043,1.62705,0,0
0,0,0.100000,16,1,4,1.96831,1.96831,1.67619,0,0
0,0,0.200000,16,0,4,1.99485,1.99485,1.62978,0,0
1,0,0.100000,16,0,4,0.807601,0.807601,1.62692,0,0
1,0,0.100000,32,0,4,0.693887,0.693887,1.573,0,0
1,1,0.100000,16,0,4,0.797715,0.797715,1.60331,0,0
1,0,0.100000,16,1,4,0.936443,0.936443,1.68617,0,0
1,0,0.200000,16,0,4,0.806651,0.806651,1.64421,0,0
1,0,0.100000,64,0,4,0.7668,0.7668,1.61877,0,0
1,1,0.100000,32,0,4,0.678369,0.678369,1.61066,0,0
1,0,0.100000,32,1,4,0.77567,0.77567,1.68477,0,0
1,0,0.200000,32,0,4,0.694163,0.694163,1.66011,0,0
1,1,0.100000,64,0,4,0.726573,0.726573,1.58767,0,0
1,1,0.100000,32,1,4,0.765169,0.765169,1.68145,0,0
1,1,0.200000,32,0,4,0.695491,0.695491,1.6753,0,0
0,1,0.100000,32,0,4,1.95945,1.95945,1.59181,0,0
