KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_SCHEDULE_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,1024000,array,true,true,64,0.616714,0.616714,9.086e-05,0,0
1,1,1,16,1024000,array,true,true,128,0.619205,0.619205,0.000190861,0,0
1,1,1,16,1024000,array,true,true,256,0.594179,0.594179,0.000240162,0,0
1,1,1,16,1024000,array,true,false,256,1.41614,1.41614,0.000171651,0,0
1,1,2,16,1024000,array,true,true,256,0.594257,0.594257,0.000226442,0,0
1,1,4,16,1024000,array,true,true,256,0.5945,0.5945,0.000174611,0,0
1,1,10,16,1024000,array,true,true,256,0.595586,0.595586,0.000174811,0,0
1,2,1,16,1024000,array,true,true,256,0.601384,0.601384,0.000175111,0,0
1,4,1,16,1024000,array,true,true,256,0.640587,0.640587,0.000173091,0,0
1,8,1,16,1024000,array,true,true,256,0.761037,0.761037,0.000172921,0,0
2,1,1,16,1024000,array,true,true,256,0.583876,0.583876,0.000175731,0,0
4,1,1,16,1024000,array,true,true,256,0.578654,0.578654,0.000175701,0,0
8,1,1,16,1024000,array,true,true,256,0.576416,0.576416,0.000249442,0,0
8,1,1,32,1024000,array,true,true,256,0.571344,0.571344,0.000173021,0,0
8,1,1,64,1024000,array,true,true,256,0.55332,0.55332,0.000172211,0,0
8,1,1,128,1024000,array,true,true,256,0.553662,0.553662,0.000176101,0,0
8,1,1,64,1024000,array,false,true,256,0.571728,0.571728,0.000186801,0,0
8,1,1,64,1024000,array,true,true,64,0.551874,0.551874,0.000176901,0,0
8,1,1,64,1024000,array,true,true,128,0.571476,0.571476,0.000188181,0,0
8,1,1,64,1024000,array,true,false,64,1.45231,1.45231,0.000177501,0,0
8,1,2,64,1024000,array,true,true,64,0.552202,0.552202,0.000170761,0,0
8,1,4,64,1024000,array,true,true,64,0.553699,0.553699,0.000173771,0,0
8,1,10,64,1024000,array,true,true,64,0.554466,0.554466,0.000172551,0,0
8,2,1,64,1024000,array,true,true,64,0.544105,0.544105,0.000175791,0,0
8,4,1,64,1024000,array,true,true,64,0.534768,0.534768,0.000172141,0,0
8,8,1,64,1024000,array,true,true,64,0.583297,0.583297,0.000175751,0,0
1,4,1,64,1024000,array,true,true,64,0.590299,0.590299,0.000172291,0,0
2,4,1,64,1024000,array,true,true,64,0.546846,0.546846,0.000172071,0,0
4,4,1,64,1024000,array,true,true,64,0.539416,0.539416,0.000172611,0,0
8,4,1,16,1024000,array,true,true,64,0.568214,0.568214,0.000173331,0,0
8,4,1,32,1024000,array,true,true,64,0.552529,0.552529,0.000174291,0,0
8,4,1,128,1024000,array,true,true,64,0.534926,0.534926,0.000170541,0,0
8,4,1,64,1024000,array,false,true,64,0.550375,0.550375,0.00017302,0,0
8,4,1,64,1024000,array,true,true,128,0.561706,0.561706,0.00013412,0,0
8,4,1,64,1024000,array,true,true,256,0.539342,0.539342,0.000171801,0,0
8,4,1,64,1024000,array,true,false,64,1.00945,1.00945,0.000174171,0,0
8,4,2,64,1024000,array,true,true,64,0.534026,0.534026,0.000186081,0,0
8,4,4,64,1024000,array,true,true,64,0.542101,0.542101,0.000185631,0,0
8,4,10,64,1024000,array,true,true,64,0.535321,0.535321,0.000188491,0,0
8,2,2,64,1024000,array,true,true,64,0.540613,0.540613,0.000185631,0,0
8,8,2,64,1024000,array,true,true,64,0.583111,0.583111,0.000170671,0,0
1,4,2,64,1024000,array,true,true,64,0.590419,0.590419,0.000186571,0,0
2,4,2,64,1024000,array,true,true,64,0.547127,0.547127,0.000195621,0,0
4,4,2,64,1024000,array,true,true,64,0.539293,0.539293,0.000171321,0,0
8,4,2,16,1024000,array,true,true,64,0.567924,0.567924,0.000171711,0,0
8,4,2,32,1024000,array,true,true,64,0.552415,0.552415,0.000171141,0,0
8,4,2,128,1024000,array,true,true,64,0.535324,0.535324,0.000214411,0,0
8,4,2,64,1024000,array,false,true,64,0.550269,0.550269,0.000170681,0,0
8,4,2,64,1024000,array,true,true,128,0.562307,0.562307,0.000174771,0,0
8,4,2,64,1024000,array,true,true,256,0.539845,0.539845,0.000171631,0,0
8,4,2,64,1024000,array,true,false,64,1.01031,1.01031,0.000171121,0,0
