KERNEL_TRANS_DATA_SPLIT,KERNEL_TRANS_GRID_BLOCK_SIZE,KERNEL_TRANS_MAX_DIM_UNROLL,KERNEL_TRANS_PREFETCH_SIZE,KERNEL_TRANS_SCHEDULE_SIZE,KERNEL_TRANS_STORE_DATA,KERNEL_TRANS_TRANSFER_WHOLE_GRID,KERNEL_TRANS_USE_LOCAL_MEMORY,TRANS_LOCAL_SIZE,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,1024000,array,true,true,64,0.59416,0.59416,7.7906e-05,0,0
1,1,1,16,1024000,array,true,true,128,0.568243,0.568243,0.000111873,0,0
1,1,1,16,1024000,array,true,true,256,0.544497,0.544497,0.000133066,0,0
1,1,1,16,1024000,array,true,false,256,1.43856,1.43856,8.5452e-05,0,0
1,1,2,16,1024000,array,true,true,256,0.551169,0.551169,8.8939e-05,0,0
1,1,4,16,1024000,array,true,true,256,0.554748,0.554748,8.685e-05,0,0
1,1,10,16,1024000,array,true,true,256,0.555209,0.555209,9.2712e-05,0,0
1,2,1,16,1024000,array,true,true,256,0.58564,0.58564,9.2892e-05,0,0
1,4,1,16,1024000,array,true,true,256,0.575087,0.575087,8.6166e-05,0,0
1,8,1,16,1024000,array,true,true,256,0.601301,0.601301,8.7632e-05,0,0
2,1,1,16,1024000,array,true,true,256,0.550282,0.550282,9.4771e-05,0,0
4,1,1,16,1024000,array,true,true,256,0.550291,0.550291,9.1247e-05,0,0
8,1,1,16,1024000,array,true,true,256,0.548426,0.548426,7.1611e-05,0,0
1,1,1,32,1024000,array,true,true,256,0.545134,0.545134,7.108e-05,0,0
1,1,1,64,1024000,array,true,true,256,0.542357,0.542357,0.000172989,0,0
1,1,1,128,1024000,array,true,true,256,0.630886,0.630886,8.1317e-05,0,0
1,1,1,64,1024000,array,false,true,256,0.55649,0.55649,8.8462e-05,0,0
1,1,1,64,1024000,array,true,true,64,0.608624,0.608624,8.2233e-05,0,0
1,1,1,64,1024000,array,true,true,128,0.584711,0.584711,0.000101422,0,0
1,1,1,64,1024000,array,true,false,256,1.44572,1.44572,0.000102773,0,0
1,1,2,64,1024000,array,true,true,256,0.542591,0.542591,9.3894e-05,0,0
1,1,4,64,1024000,array,true,true,256,0.543937,0.543937,0.00010557,0,0
1,1,10,64,1024000,array,true,true,256,0.543215,0.543215,9.4407e-05,0,0
1,2,1,64,1024000,array,true,true,256,0.60019,0.60019,9.0995e-05,0,0
1,4,1,64,1024000,array,true,true,256,0.571588,0.571588,0.000177225,0,0
1,8,1,64,1024000,array,true,true,256,0.5699,0.5699,8.9603e-05,0,0
2,1,1,64,1024000,array,true,true,256,0.541707,0.541707,7.3541e-05,0,0
4,1,1,64,1024000,array,true,true,256,0.540837,0.540837,8.8019e-05,0,0
8,1,1,64,1024000,array,true,true,256,0.538449,0.538449,9.1906e-05,0,0
8,1,1,32,1024000,array,true,true,256,0.543025,0.543025,7.7071e-05,0,0
8,1,1,128,1024000,array,true,true,256,0.622387,0.622387,6.8681e-05,0,0
8,1,1,64,1024000,array,false,true,256,0.548812,0.548812,9.0593e-05,0,0
8,1,1,64,1024000,array,true,true,64,0.600417,0.600417,7.3884e-05,0,0
8,1,1,64,1024000,array,true,true,128,0.578556,0.578556,0.000183378,0,0
8,1,1,64,1024000,array,true,false,256,1.35274,1.35274,9.486e-05,0,0
8,1,2,64,1024000,array,true,true,256,0.539489,0.539489,9.3376e-05,0,0
8,1,4,64,1024000,array,true,true,256,0.540217,0.540217,9.1982e-05,0,0
8,1,10,64,1024000,array,true,true,256,0.539896,0.539896,9.1404e-05,0,0
8,2,1,64,1024000,array,true,true,256,0.599569,0.599569,7.7523e-05,0,0
8,4,1,64,1024000,array,true,true,256,0.571277,0.571277,8.9388e-05,0,0
8,8,1,64,1024000,array,true,true,256,0.571548,0.571548,7.8702e-05,0,0
