KERNEL_DATA_BLOCK_SIZE,KERNEL_GRID_SPLIT,KERNEL_MAX_DIM_UNROLL,KERNEL_PREFETCH_SIZE,KERNEL_STORE_DATA,KERNEL_TRANSFER_WHOLE_DATASET,KERNEL_USE_LOCAL_MEMORY,LOCAL_SIZE,OPTIMIZATION_FLAGS,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,1,16,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.11884,6.11884,0.000127836,0,0
1,1,1,16,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,6.03421,6.03421,0.00022037,0,0
1,1,1,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.96101,5.96101,0.000221937,0,0
1,1,1,16,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,13.7828,13.7828,0.000226289,0,0
1,1,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.96044,5.96044,0.000226688,0,0
1,1,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.96074,5.96074,0.000222272,0,0
1,1,10,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.96071,5.96071,0.000226262,0,0
2,1,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.8501,4.8501,0.000224009,0,0
4,1,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.62987,3.62987,0.000226592,0,0
8,1,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.52418,4.52418,0.000225512,0,0
4,2,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.33668,3.33668,0.000223708,0,0
4,4,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.24826,3.24826,0.000219879,0,0
4,8,2,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.18467,3.18467,0.000243037,0,0
4,8,2,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.0171,3.0171,0.000220201,0,0
4,8,2,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.95021,2.95021,0.000240847,0,0
4,8,2,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.91963,2.91963,0.000248044,0,0
4,8,2,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.9288,2.9288,0.00024111,0,0
4,8,2,128,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.83899,7.83899,0.000241219,0,0
4,8,2,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.99328,3.99328,0.00022691,0,0
4,8,2,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.00829,7.00829,0.000229752,0,0
4,8,1,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.91973,2.91973,0.000225343,0,0
4,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.91963,2.91963,0.000220277,0,0
4,8,10,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.91991,2.91991,0.000223759,0,0
1,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,5.37049,5.37049,0.000222855,0,0
2,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,4.4209,4.4209,0.000224397,0,0
8,8,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.56996,3.56996,0.000221499,0,0
4,1,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.22274,3.22274,0.000222467,0,0
4,2,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.0281,3.0281,0.000233463,0,0
4,4,4,128,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.95519,2.95519,0.000229608,0,0
4,8,4,16,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.18675,3.18675,0.000222343,0,0
4,8,4,32,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.01721,3.01721,0.000222181,0,0
4,8,4,64,array,true,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.95022,2.95022,0.000221959,0,0
4,8,4,128,array,false,true,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,2.92911,2.92911,0.000226739,0,0
4,8,4,128,array,true,true,64,-cl-unsafe-math-optimizations -cl-denorms-are-zero,9.05169,9.05169,0.000218474,0,0
4,8,4,128,array,true,true,128,-cl-unsafe-math-optimizations -cl-denorms-are-zero,3.99232,3.99232,0.000223096,0,0
4,8,4,128,array,true,false,256,-cl-unsafe-math-optimizations -cl-denorms-are-zero,7.00017,7.00017,0.000223681,0,0
