SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.200000,16,1,4,57.077,57.077,1.89997,0,0
0,0,0.200000,32,1,4,46.6268,46.6268,1.87958,0,0
0,0,0.200000,64,1,4,40.5215,40.5215,1.8795,0,0
0,0,0.200000,128,1,4,36.8214,36.8214,1.87058,0,0
0,0,0.200000,256,1,4,34.9756,34.9756,1.87742,0,0
0,0,0.200000,512,1,4,34.0347,34.0347,1.87943,0,0
0,1,0.200000,512,1,4,33.9562,33.9562,1.87387,0,0
1,1,0.200000,512,1,4,17.1712,17.1712,1.90813,0,0
1,1,0.200000,512,0,4,17.0349,17.0349,1.81135,0,0
1,1,0.100000,512,0,4,17.0128,17.0128,1.79393,0,0
1,1,0.300000,512,0,4,17.0511,17.0511,1.80588,0,0
1,1,0.100000,16,0,4,42.6337,42.6337,1.81126,0,0
1,1,0.100000,32,0,4,31.1593,31.1593,1.80833,0,0
1,1,0.100000,64,0,4,24.2009,24.2009,1.79273,0,0
1,1,0.100000,128,0,4,20.3444,20.3444,1.80687,0,0
1,1,0.100000,256,0,4,18.185,18.185,1.80636,0,0
1,0,0.100000,512,0,4,17.3382,17.3382,1.80015,0,0
0,1,0.100000,512,0,4,36.4862,36.4862,1.80088,0,0
1,1,0.100000,512,1,4,17.1715,17.1715,1.90464,0,0
