SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.300000,512,1,4,17.9448,17.9448,1.91907,0,0
0,1,0.300000,512,1,4,34.1744,34.1744,1.89955,0,0
0,0,0.100000,64,1,8,40.0239,40.0239,1.89871,0,0
0,0,0.300000,256,0,4,37.3545,37.3545,1.80988,0,0
0,1,0.100000,512,0,4,36.5265,36.5265,1.8106,0,0
1,0,0.300000,16,0,4,42.848,42.848,1.83183,0,0
1,0,0.100000,128,0,8,20.1216,20.1216,1.81402,0,0
0,1,0.300000,16,1,8,64.0874,64.0874,1.90922,0,0
0,0,0.200000,64,1,4,40.4326,40.4326,1.89,0,0
0,1,0.100000,32,0,4,50.5032,50.5032,1.79872,0,0
1,1,0.300000,256,1,4,18.4877,18.4877,1.91132,0,0
1,1,0.200000,256,1,4,18.4774,18.4774,1.90695,0,0
0,1,0.100000,16,1,8,60.5272,60.5272,1.91077,0,0
1,0,0.200000,256,1,4,18.536,18.536,1.90793,0,0
1,1,0.200000,16,0,8,43.1875,43.1875,1.82653,0,0
0,0,0.300000,32,1,8,46.7383,46.7383,1.89419,0,0
1,0,0.200000,256,0,4,18.1257,18.1257,1.8117,0,0
1,0,0.300000,64,1,4,24.1988,24.1988,1.89959,0,0
1,0,0.200000,32,0,4,31.1624,31.1624,1.80755,0,0
0,1,0.200000,16,0,4,62.7877,62.7877,1.81737,0,0
1,0,0.100000,128,1,8,20.7506,20.7506,1.90588,0,0
1,1,0.300000,32,1,4,31.5841,31.5841,1.91262,0,0
1,0,0.200000,16,1,8,42.1563,42.1563,1.92786,0,0
1,1,0.200000,64,0,8,23.8201,23.8201,1.81537,0,0
0,1,0.300000,128,0,4,39.7832,39.7832,1.79729,0,0
1,1,0.300000,32,0,4,31.2146,31.2146,1.80392,0,0
1,0,0.100000,64,0,8,23.9127,23.9127,1.80758,0,0
0,1,0.300000,16,0,8,62.4371,62.4371,1.82479,0,0
1,0,0.100000,64,1,8,23.9671,23.9671,1.89756,0,0
1,1,0.200000,256,0,4,17.8548,17.8548,1.80264,0,0
0,1,0.100000,64,0,8,43.3944,43.3944,1.81048,0,0
1,0,0.200000,128,1,4,20.4615,20.4615,1.91119,0,0
0,1,0.200000,256,0,4,37.3625,37.3625,1.8093,0,0
0,1,0.300000,256,1,4,34.8588,34.8588,1.89391,0,0
1,1,0.300000,64,1,8,24.3912,24.3912,1.89992,0,0
1,1,0.200000,16,1,4,45.0591,45.0591,1.92678,0,0
1,1,0.100000,128,1,8,20.9346,20.9346,1.90229,0,0
1,1,0.200000,512,1,8,17.3597,17.3597,1.91761,0,0
1,1,0.200000,32,0,8,31.2641,31.2641,1.81877,0,0
1,0,0.100000,256,1,4,18.6202,18.6202,1.90814,0,0
0,0,0.300000,64,1,4,40.1547,40.1547,1.88113,0,0
0,0,0.200000,128,0,4,39.5959,39.5959,1.80538,0,0
0,1,0.100000,512,1,8,33.9588,33.9588,1.89053,0,0
1,1,0.300000,64,0,8,23.8685,23.8685,1.80471,0,0
0,1,0.300000,32,0,8,50.4605,50.4605,1.80279,0,0
1,0,0.300000,16,1,8,44.576,44.576,1.92408,0,0
0,0,0.200000,16,0,8,62.7018,62.7018,1.82731,0,0
1,1,0.300000,16,1,4,45.581,45.581,1.9279,0,0
1,1,0.100000,512,0,8,17.0741,17.0741,1.81351,0,0
1,0,0.300000,256,1,4,18.7945,18.7945,1.91403,0,0
0,1,0.200000,64,1,4,39.9048,39.9048,1.88836,0,0
1,1,0.300000,128,1,8,20.8252,20.8252,1.90436,0,0
1,0,0.100000,16,0,8,41.8186,41.8186,1.82288,0,0
1,0,0.100000,32,0,8,31.1491,31.1491,1.81714,0,0
0,0,0.100000,256,0,4,37.4368,37.4368,1.80961,0,0
1,0,0.300000,32,1,4,31.6861,31.6861,1.91088,0,0
0,0,0.200000,256,1,4,34.9309,34.9309,1.894,0,0
0,1,0.200000,128,0,4,39.6013,39.6013,1.81461,0,0
0,1,0.200000,512,0,8,36.5102,36.5102,1.80414,0,0
1,0,0.300000,512,0,4,17.356,17.356,1.81656,0,0
0,0,0.100000,32,0,4,50.4123,50.4123,1.80844,0,0
1,0,0.300000,128,1,4,20.4519,20.4519,1.91077,0,0
1,0,0.100000,32,1,8,31.5615,31.5615,1.89925,0,0
0,0,0.100000,128,1,4,36.7723,36.7723,1.89587,0,0
0,0,0.300000,256,1,8,34.9756,34.9756,1.89537,0,0
0,0,0.100000,32,1,8,46.8822,46.8822,1.88543,0,0
0,1,0.300000,512,0,4,36.6159,36.6159,1.79805,0,0
1,1,0.100000,128,0,8,20.0255,20.0255,1.81452,0,0
1,1,0.200000,128,0,4,20.4675,20.4675,1.81897,0,0
0,0,0.200000,256,0,4,37.3484,37.3484,1.80694,0,0
0,1,0.300000,64,1,4,40.0764,40.0764,1.89733,0,0
1,0,0.100000,256,0,4,18.0664,18.0664,1.81248,0,0
0,1,0.300000,64,0,8,43.1919,43.1919,1.80986,0,0
