SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.100000,32,1,4,46.3884,46.3884,1.88407,0,0
0,1,0.100000,64,1,4,40.6886,40.6886,1.8894,0,0
0,1,0.100000,16,1,4,58.2227,58.2227,1.90162,0,0
0,0,0.100000,32,1,4,46.8798,46.8798,1.89004,0,0
1,1,0.100000,32,1,4,31.4133,31.4133,1.90096,0,0
0,1,0.100000,32,0,4,50.32,50.32,1.79849,0,0
0,1,0.200000,32,1,4,46.3118,46.3118,1.88403,0,0
1,1,0.100000,64,1,4,24.9973,24.9973,1.88805,0,0
1,1,0.100000,16,1,4,44.7325,44.7325,1.92228,0,0
1,0,0.100000,32,1,4,31.4313,31.4313,1.89598,0,0
1,1,0.100000,32,0,4,31.2151,31.2151,1.79405,0,0
1,1,0.200000,32,1,4,31.4017,31.4017,1.88883,0,0
1,1,0.100000,128,1,4,21.4639,21.4639,1.89126,0,0
1,0,0.100000,64,1,4,24.9061,24.9061,1.89761,0,0
1,1,0.100000,64,0,4,24.1943,24.1943,1.80483,0,0
1,1,0.200000,64,1,4,25.0274,25.0274,1.90025,0,0
1,1,0.100000,256,1,4,18.5123,18.5123,1.89053,0,0
1,0,0.100000,128,1,4,21.1172,21.1172,1.89216,0,0
0,1,0.100000,128,1,4,37.2471,37.2471,1.89495,0,0
1,1,0.100000,128,0,4,20.6705,20.6705,1.79202,0,0
1,1,0.200000,128,1,4,21.07,21.07,1.88676,0,0
1,1,0.100000,512,1,4,17.2054,17.2054,1.89141,0,0
1,0,0.100000,256,1,4,18.9244,18.9244,1.902,0,0
0,1,0.100000,256,1,4,35.023,35.023,1.88231,0,0
1,1,0.100000,256,0,4,18.3779,18.3779,1.80724,0,0
1,1,0.200000,256,1,4,18.7233,18.7233,1.88893,0,0
1,0,0.100000,512,1,4,17.5559,17.5559,1.89629,0,0
0,1,0.100000,512,1,4,34.0187,34.0187,1.88522,0,0
1,1,0.100000,512,0,4,17.4903,17.4903,1.79825,0,0
1,1,0.200000,512,1,4,17.2913,17.2913,1.89492,0,0
