SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,16,0,8,28.5235,28.5235,1.36441,0,0
1,0,0.100000,32,0,8,22.6555,22.6555,1.34227,0,0
1,0,0.100000,64,0,8,18.3456,18.3456,1.34077,0,0
1,0,0.100000,128,0,8,16.5621,16.5621,1.34949,0,0
1,0,0.100000,256,0,8,15.6803,15.6803,1.34915,0,0
1,0,0.100000,512,0,8,15.571,15.571,1.34944,0,0
1,1,0.100000,512,0,8,15.228,15.228,1.35152,0,0
0,1,0.100000,512,0,8,33.6888,33.6888,1.34298,0,0
1,1,0.100000,512,1,8,15.0966,15.0966,1.43146,0,0
1,1,0.200000,512,1,8,15.1379,15.1379,1.43047,0,0
1,1,0.300000,512,1,8,15.0922,15.0922,1.44055,0,0
1,1,0.300000,16,1,8,28.4019,28.4019,1.45757,0,0
1,1,0.300000,32,1,8,22.984,22.984,1.42452,0,0
1,1,0.300000,64,1,8,18.6351,18.6351,1.43946,0,0
1,1,0.300000,128,1,8,16.7684,16.7684,1.43707,0,0
1,1,0.300000,256,1,8,15.6095,15.6095,1.43342,0,0
1,0,0.300000,512,1,8,15.0394,15.0394,1.43243,0,0
0,0,0.300000,512,1,8,31.0869,31.0869,1.4233,0,0
1,0,0.300000,512,0,8,15.6156,15.6156,1.35,0,0
1,0,0.100000,512,1,8,15.0608,15.0608,1.44206,0,0
1,0,0.200000,512,1,8,14.9901,14.9901,1.42483,0,0
1,0,0.200000,16,1,8,28.2142,28.2142,1.44005,0,0
1,0,0.200000,32,1,8,23.3963,23.3963,1.42658,0,0
1,0,0.200000,64,1,8,18.5286,18.5286,1.43028,0,0
1,0,0.200000,128,1,8,16.8621,16.8621,1.43364,0,0
1,0,0.200000,256,1,8,15.4466,15.4466,1.42537,0,0
0,0,0.200000,512,1,8,31.1606,31.1606,1.42411,0,0
1,0,0.200000,512,0,8,15.6517,15.6517,1.35669,0,0
