SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.100000,64,1,8,34.1462,34.1462,1.43002,0,0
1,0,0.100000,32,0,4,22.1515,22.1515,1.33166,0,0
0,1,0.100000,32,1,4,39.0583,39.0583,1.40333,0,0
1,1,0.300000,64,0,8,18.0219,18.0219,1.35481,0,0
0,1,0.300000,128,0,4,35.0151,35.0151,1.33534,0,0
1,1,0.200000,128,1,8,16.7959,16.7959,1.44019,0,0
0,0,0.200000,256,0,8,34.3434,34.3434,1.33999,0,0
0,0,0.100000,32,1,4,38.3501,38.3501,1.4173,0,0
1,0,0.300000,64,0,8,18.026,18.026,1.34073,0,0
0,1,0.100000,128,1,8,32.6436,32.6436,1.42497,0,0
0,1,0.200000,512,1,4,31.0121,31.0121,1.42059,0,0
0,0,0.300000,64,1,8,34.0735,34.0735,1.41134,0,0
1,1,0.300000,512,0,4,15.2513,15.2513,1.34236,0,0
0,0,0.100000,256,1,4,31.4495,31.4495,1.41335,0,0
0,1,0.100000,512,0,4,33.6763,33.6763,1.35041,0,0
1,0,0.100000,64,0,8,18.0315,18.0315,1.35363,0,0
1,1,0.200000,512,1,8,15.0953,15.0953,1.44306,0,0
0,1,0.300000,64,0,4,37.0147,37.0147,1.33757,0,0
0,0,0.200000,128,0,4,35.4556,35.4556,1.35175,0,0
0,1,0.300000,512,1,8,31.0539,31.0539,1.42355,0,0
1,0,0.200000,64,0,8,18.0192,18.0192,1.34978,0,0
0,0,0.100000,16,0,4,47.0135,47.0135,1.35921,0,0
1,1,0.100000,64,1,4,18.6455,18.6455,1.42741,0,0
1,0,0.300000,32,1,4,23.3409,23.3409,1.42443,0,0
1,0,0.200000,16,1,4,27.778,27.778,1.44464,0,0
1,1,0.200000,32,0,4,22.4103,22.4103,1.34191,0,0
1,0,0.100000,512,1,8,14.9969,14.9969,1.43337,0,0
0,1,0.100000,512,1,4,31.2306,31.2306,1.42177,0,0
0,1,0.100000,256,1,4,31.5335,31.5335,1.41941,0,0
1,1,0.200000,256,0,4,15.5588,15.5588,1.3544,0,0
1,1,0.200000,32,1,4,22.9498,22.9498,1.42636,0,0
0,1,0.300000,64,1,4,34.0435,34.0435,1.41358,0,0
1,0,0.300000,256,0,8,15.6803,15.6803,1.34758,0,0
0,0,0.300000,512,1,8,30.9921,30.9921,1.4254,0,0
1,0,0.200000,256,1,4,15.5126,15.5126,1.43702,0,0
1,0,0.300000,64,1,8,18.519,18.519,1.42773,0,0
1,1,0.200000,16,0,8,27.0212,27.0212,1.35469,0,0
0,0,0.100000,512,1,8,31.0086,31.0086,1.42375,0,0
0,0,0.200000,16,0,4,46.9073,46.9073,1.35487,0,0
1,1,0.300000,128,1,8,16.811,16.811,1.43895,0,0
1,1,0.300000,32,1,4,22.9135,22.9135,1.429,0,0
0,1,0.300000,16,0,4,46.8361,46.8361,1.34199,0,0
1,0,0.300000,16,0,4,27.501,27.501,1.3665,0,0
0,0,0.200000,32,1,8,38.1314,38.1314,1.41588,0,0
0,1,0.300000,32,0,4,40.9597,40.9597,1.3402,0,0
0,1,0.200000,256,0,4,34.0321,34.0321,1.33811,0,0
0,0,0.300000,128,0,4,35.3844,35.3844,1.34887,0,0
1,0,0.300000,512,1,4,14.9847,14.9847,1.4249,0,0
1,0,0.300000,128,1,8,16.8508,16.8508,1.43042,0,0
0,0,0.300000,512,0,4,34.2931,34.2931,1.34558,0,0
0,0,0.200000,256,1,8,31.4395,31.4395,1.42269,0,0
0,0,0.100000,256,0,8,34.3582,34.3582,1.3379,0,0
1,0,0.300000,128,0,8,16.5048,16.5048,1.35329,0,0
0,1,0.300000,16,1,8,45.1946,45.1946,1.42215,0,0
0,1,0.200000,16,0,8,46.8378,46.8378,1.36187,0,0
1,1,0.300000,256,0,4,15.5043,15.5043,1.35733,0,0
0,1,0.200000,32,1,4,38.962,38.962,1.41355,0,0
0,0,0.300000,256,1,4,31.4085,31.4085,1.41425,0,0
0,0,0.200000,512,0,8,34.2104,34.2104,1.35094,0,0
1,0,0.100000,128,1,8,16.8676,16.8676,1.44016,0,0
0,0,0.300000,16,0,8,47.3351,47.3351,1.34971,0,0
0,1,0.200000,128,1,8,32.646,32.646,1.41484,0,0
1,1,0.100000,256,1,4,15.6339,15.6339,1.42793,0,0
0,0,0.200000,128,1,8,32.401,32.401,1.41811,0,0
0,1,0.200000,16,1,4,45.1887,45.1887,1.416,0,0
1,0,0.200000,256,0,8,15.7263,15.7263,1.34586,0,0
1,1,0.100000,256,0,8,15.51,15.51,1.34375,0,0
1,0,0.100000,16,1,4,28.1694,28.1694,1.44517,0,0
1,0,0.200000,32,0,4,21.9266,21.9266,1.33766,0,0
0,1,0.200000,256,1,4,31.4202,31.4202,1.42848,0,0
0,1,0.300000,128,1,8,32.6599,32.6599,1.41487,0,0
1,0,0.200000,128,0,4,16.4895,16.4895,1.35818,0,0
