SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,47.8158,47.8158,1.35958,0,0
0,0,0.100000,32,0,4,41.5363,41.5363,1.3461,0,0
0,1,0.100000,16,0,4,47.6669,47.6669,1.36116,0,0
0,0,0.100000,16,1,4,45.7149,45.7149,1.43221,0,0
0,0,0.200000,16,0,4,47.6824,47.6824,1.36001,0,0
1,0,0.100000,16,0,4,27.4757,27.4757,1.36021,0,0
1,0,0.100000,32,0,4,22.0719,22.0719,1.34064,0,0
1,1,0.100000,16,0,4,27.5228,27.5228,1.37038,0,0
1,0,0.100000,16,1,4,28.0189,28.0189,1.44678,0,0
1,0,0.200000,16,0,4,27.4999,27.4999,1.36825,0,0
1,0,0.100000,64,0,4,17.9344,17.9344,1.35534,0,0
1,1,0.100000,32,0,4,22.4182,22.4182,1.3456,0,0
1,0,0.100000,32,1,4,23.3179,23.3179,1.42684,0,0
1,0,0.200000,32,0,4,22.139,22.139,1.35115,0,0
1,0,0.100000,128,0,4,16.3943,16.3943,1.35767,0,0
1,1,0.100000,64,0,4,17.8764,17.8764,1.3609,0,0
1,0,0.100000,64,1,4,18.3937,18.3937,1.4463,0,0
1,0,0.200000,64,0,4,17.913,17.913,1.35333,0,0
0,0,0.100000,64,0,4,37.1443,37.1443,1.35207,0,0
1,0,0.100000,256,0,4,15.6254,15.6254,1.35849,0,0
1,1,0.100000,128,0,4,16.2902,16.2902,1.35598,0,0
1,0,0.100000,128,1,4,16.794,16.794,1.44723,0,0
1,0,0.200000,128,0,4,16.3829,16.3829,1.35431,0,0
0,0,0.100000,128,0,4,35.2833,35.2833,1.34452,0,0
1,0,0.100000,512,0,4,15.5147,15.5147,1.35494,0,0
1,1,0.100000,256,0,4,15.4584,15.4584,1.35261,0,0
1,0,0.100000,256,1,4,15.3974,15.3974,1.43709,0,0
1,0,0.200000,256,0,4,15.6014,15.6014,1.35634,0,0
0,0,0.100000,256,0,4,34.3064,34.3064,1.35375,0,0
1,0,0.100000,512,1,4,14.9587,14.9587,1.44422,0,0
1,1,0.100000,256,1,4,15.5363,15.5363,1.44603,0,0
1,0,0.200000,256,1,4,15.4102,15.4102,1.44074,0,0
0,0,0.100000,256,1,4,31.3451,31.3451,1.43232,0,0
1,1,0.100000,512,1,4,15.064,15.064,1.44237,0,0
1,0,0.200000,512,1,4,14.9382,14.9382,1.44058,0,0
0,0,0.100000,512,1,4,30.9286,30.9286,1.43144,0,0
1,1,0.200000,512,1,4,15.0758,15.0758,1.44531,0,0
1,0,0.200000,512,0,4,15.528,15.528,1.35114,0,0
1,0,0.300000,512,1,4,14.9377,14.9377,1.43786,0,0
0,0,0.200000,512,1,4,30.9322,30.9322,1.42611,0,0
1,0,0.300000,256,1,4,15.4606,15.4606,1.43028,0,0
1,1,0.300000,512,1,4,15.0778,15.0778,1.4334,0,0
1,0,0.300000,512,0,4,15.4959,15.4959,1.35337,0,0
0,0,0.300000,512,1,4,30.9387,30.9387,1.42443,0,0
