SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,64,0,4,24.4472,24.4472,1.82049,0,0
1,0,0.100000,64,1,4,24.4029,24.4029,1.89309,0,0
0,1,0.100000,512,1,4,34.125,34.125,1.88256,0,0
1,0,0.300000,512,0,8,17.3734,17.3734,1.80159,0,0
1,0,0.200000,512,0,4,17.4757,17.4757,1.79188,0,0
1,1,0.100000,128,0,4,20.278,20.278,1.80288,0,0
0,0,0.300000,16,0,4,61.504,61.504,1.81522,0,0
0,0,0.200000,256,1,4,34.9734,34.9734,1.89053,0,0
1,1,0.300000,512,0,4,17.0836,17.0836,1.80452,0,0
0,0,0.100000,128,1,8,36.8667,36.8667,1.88768,0,0
0,1,0.300000,128,1,4,36.8056,36.8056,1.8869,0,0
1,0,0.100000,16,1,8,43.0424,43.0424,1.9105,0,0
1,0,0.100000,512,1,4,17.6237,17.6237,1.90164,0,0
1,0,0.300000,32,0,8,31.2439,31.2439,1.79212,0,0
0,1,0.200000,256,1,8,34.903,34.903,1.87983,0,0
0,0,0.200000,16,1,8,56.7104,56.7104,1.89863,0,0
0,0,0.300000,32,1,8,46.8159,46.8159,1.88627,0,0
0,0,0.100000,64,1,8,40.439,40.439,1.88716,0,0
1,1,0.300000,128,1,8,20.7125,20.7125,1.89261,0,0
1,0,0.300000,16,1,8,43.0897,43.0897,1.90736,0,0
1,0,0.200000,512,1,8,17.6392,17.6392,1.89493,0,0
1,1,0.200000,512,0,4,17.1096,17.1096,1.7923,0,0
0,0,0.100000,32,1,4,46.8216,46.8216,1.8836,0,0
0,1,0.300000,256,0,4,37.2982,37.2982,1.78887,0,0
0,0,0.100000,16,0,8,59.9669,59.9669,1.80384,0,0
1,0,0.200000,32,0,8,31.3788,31.3788,1.79915,0,0
1,1,0.200000,128,1,8,21.0574,21.0574,1.89,0,0
0,1,0.200000,32,0,4,50.4803,50.4803,1.78924,0,0
1,0,0.300000,256,0,8,18.1955,18.1955,1.8101,0,0
1,1,0.100000,32,0,8,31.3001,31.3001,1.80424,0,0
1,0,0.300000,128,0,8,20.4334,20.4334,1.79127,0,0
0,1,0.100000,512,0,8,36.577,36.577,1.79966,0,0
0,0,0.300000,256,0,4,37.4387,37.4387,1.79458,0,0
1,1,0.300000,64,1,4,24.7923,24.7923,1.90271,0,0
0,1,0.300000,128,0,4,39.8296,39.8296,1.79369,0,0
0,0,0.300000,64,1,4,40.2872,40.2872,1.87628,0,0
1,1,0.300000,128,0,4,20.1646,20.1646,1.80238,0,0
1,0,0.200000,16,1,4,44.4007,44.4007,1.90038,0,0
0,1,0.100000,64,0,8,43.4452,43.4452,1.80536,0,0
1,0,0.300000,128,1,4,21.0329,21.0329,1.89213,0,0
0,0,0.200000,64,1,8,40.4279,40.4279,1.8731,0,0
1,1,0.200000,16,1,8,41.5456,41.5456,1.90826,0,0
0,1,0.200000,512,0,8,36.5924,36.5924,1.79554,0,0
0,0,0.300000,128,0,4,39.6516,39.6516,1.79351,0,0
1,1,0.200000,32,1,8,31.4801,31.4801,1.89404,0,0
0,0,0.100000,128,0,4,39.7699,39.7699,1.79678,0,0
1,1,0.300000,32,0,4,31.3967,31.3967,1.79819,0,0
0,0,0.200000,128,1,4,36.9448,36.9448,1.88116,0,0
1,0,0.100000,32,0,4,31.2341,31.2341,1.79223,0,0
1,1,0.100000,256,1,4,18.4379,18.4379,1.90401,0,0
1,0,0.200000,256,0,4,18.2247,18.2247,1.80172,0,0
1,1,0.200000,512,1,8,17.3243,17.3243,1.89449,0,0
1,1,0.300000,64,0,4,23.9351,23.9351,1.79392,0,0
0,1,0.100000,16,0,4,61.0078,61.0078,1.80523,0,0
0,0,0.200000,32,1,8,46.784,46.784,1.89199,0,0
0,1,0.200000,16,1,4,56.3134,56.3134,1.88825,0,0
1,1,0.100000,128,1,8,20.788,20.788,1.88962,0,0
1,1,0.300000,256,1,8,18.52,18.52,1.89787,0,0
0,1,0.300000,32,1,4,46.5324,46.5324,1.88389,0,0
0,1,0.200000,512,1,8,34.0503,34.0503,1.88437,0,0
1,1,0.100000,32,1,4,31.5556,31.5556,1.89368,0,0
1,0,0.100000,128,0,4,20.7784,20.7784,1.80969,0,0
1,0,0.200000,16,0,4,40.7448,40.7448,1.81567,0,0
0,0,0.300000,128,1,8,37.205,37.205,1.87383,0,0
1,0,0.300000,64,1,4,24.6258,24.6258,1.8949,0,0
0,1,0.300000,16,1,8,56.74,56.74,1.89726,0,0
0,1,0.300000,512,0,4,36.6197,36.6197,1.78946,0,0
0,1,0.300000,16,0,8,62.2732,62.2732,1.8056,0,0
1,0,0.100000,128,1,4,20.6401,20.6401,1.90317,0,0
1,0,0.100000,512,0,8,17.3603,17.3603,1.79531,0,0
1,1,0.200000,16,0,4,42.3803,42.3803,1.82496,0,0
0,1,0.300000,256,1,4,34.9226,34.9226,1.88159,0,0
