SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,47.2866,47.2866,1.36596,0,0
0,0,0.100000,32,0,4,41.3735,41.3735,1.33081,0,0
0,1,0.100000,16,0,4,46.6903,46.6903,1.34734,0,0
1,0,0.100000,16,0,4,27.4386,27.4386,1.35329,0,0
0,0,0.100000,16,1,4,44.8879,44.8879,1.43017,0,0
0,0,0.200000,16,0,4,47.0969,47.0969,1.34533,0,0
1,0,0.100000,32,0,4,22.0108,22.0108,1.33969,0,0
1,1,0.100000,16,0,4,27.2902,27.2902,1.35313,0,0
1,0,0.100000,16,1,4,27.8903,27.8903,1.43444,0,0
1,0,0.200000,16,0,4,27.3368,27.3368,1.35943,0,0
1,0,0.100000,64,0,4,17.9501,17.9501,1.35744,0,0
1,1,0.100000,32,0,4,22.4809,22.4809,1.34502,0,0
1,0,0.100000,32,1,4,23.3848,23.3848,1.41979,0,0
1,0,0.200000,32,0,4,21.9875,21.9875,1.34723,0,0
1,0,0.100000,128,0,4,16.4413,16.4413,1.35682,0,0
1,1,0.100000,64,0,4,17.9235,17.9235,1.34911,0,0
0,0,0.100000,64,0,4,37.1612,37.1612,1.34938,0,0
1,0,0.100000,64,1,4,18.622,18.622,1.4319,0,0
1,0,0.200000,64,0,4,17.9598,17.9598,1.35056,0,0
1,0,0.100000,256,0,4,15.6885,15.6885,1.34201,0,0
1,1,0.100000,128,0,4,16.3029,16.3029,1.3406,0,0
0,0,0.100000,128,0,4,35.3427,35.3427,1.34264,0,0
1,0,0.100000,128,1,4,16.8171,16.8171,1.42894,0,0
1,0,0.200000,128,0,4,16.4184,16.4184,1.34284,0,0
1,0,0.100000,512,0,4,15.6,15.6,1.3444,0,0
1,1,0.100000,256,0,4,15.5113,15.5113,1.34451,0,0
0,0,0.100000,256,0,4,34.3236,34.3236,1.33759,0,0
1,0,0.100000,256,1,4,15.545,15.545,1.42558,0,0
1,0,0.200000,256,0,4,15.6626,15.6626,1.35202,0,0
1,1,0.100000,512,0,4,15.2074,15.2074,1.33866,0,0
0,1,0.100000,256,0,4,33.9633,33.9633,1.33925,0,0
1,1,0.100000,256,1,4,15.5879,15.5879,1.43988,0,0
1,1,0.200000,256,0,4,15.507,15.507,1.34564,0,0
0,1,0.100000,512,0,4,33.6134,33.6134,1.34207,0,0
1,1,0.100000,512,1,4,15.0931,15.0931,1.43231,0,0
1,1,0.200000,512,0,4,15.208,15.208,1.34403,0,0
1,0,0.100000,512,1,4,14.9692,14.9692,1.42695,0,0
0,1,0.100000,512,1,4,31.0304,31.0304,1.42142,0,0
1,1,0.200000,512,1,4,15.1007,15.1007,1.43149,0,0
0,0,0.100000,512,1,4,31.0029,31.0029,1.42462,0,0
1,0,0.200000,512,1,4,14.993,14.993,1.42727,0,0
