SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.100000,16,1,4,5.45594,5.45594,2.05598,0,0
1,1,0.100000,32,1,4,4.10307,4.10307,2.04365,0,0
1,1,0.100000,64,1,4,4.24888,4.24888,2.03265,0,0
1,1,0.100000,128,1,4,3.553,3.553,2.01175,0,0
1,1,0.100000,256,1,4,2.2872,2.2872,2.00338,0,0
1,1,0.100000,512,1,4,1.80841,1.80841,2.01396,0,0
1,0,0.100000,512,1,4,1.84497,1.84497,2.03386,0,0
0,1,0.100000,512,1,4,3.07077,3.07077,2.00845,0,0
1,1,0.100000,512,0,4,1.94193,1.94193,1.94787,0,0
1,1,0.200000,512,1,4,1.82936,1.82936,2.0295,0,0
1,1,0.300000,512,1,4,1.83214,1.83214,2.06286,0,0
