SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.300000,128,0,4,3.42201,3.42201,2.04862,0,0
1,0,0.300000,32,1,4,3.82375,3.82375,2.07386,0,0
1,1,0.300000,256,0,8,1.94058,1.94058,1.96691,0,0
0,1,0.300000,256,0,4,3.00936,3.00936,1.9797,0,0
1,0,0.100000,16,1,8,5.19524,5.19524,2.04078,0,0
1,0,0.100000,64,1,4,2.75071,2.75071,2.05423,0,0
0,1,0.200000,128,1,8,3.464,3.464,2.03819,0,0
1,0,0.100000,32,0,8,4.34259,4.34259,1.96727,0,0
1,1,0.300000,256,1,4,1.9128,1.9128,2.04694,0,0
0,1,0.200000,64,1,8,4.07629,4.07629,2.04477,0,0
0,1,0.300000,16,0,8,6.89413,6.89413,2.02076,0,0
0,1,0.300000,16,1,4,6.655,6.655,2.07193,0,0
0,1,0.100000,32,0,8,5.1203,5.1203,2.00119,0,0
0,1,0.300000,64,0,4,3.97753,3.97753,1.97158,0,0
0,0,0.200000,16,1,4,6.54823,6.54823,2.06816,0,0
1,1,0.200000,16,0,8,5.9026,5.9026,2.00824,0,0
1,0,0.300000,256,0,4,1.96971,1.96971,1.99229,0,0
0,1,0.200000,512,0,4,2.89413,2.89413,1.99489,0,0
1,0,0.300000,16,0,4,6.08645,6.08645,2.0275,0,0
1,1,0.300000,16,0,4,5.90358,5.90358,2.01692,0,0
0,0,0.300000,512,0,8,2.98951,2.98951,2.00016,0,0
0,0,0.200000,64,0,8,4.12484,4.12484,1.98815,0,0
0,1,0.200000,16,1,8,6.82927,6.82927,2.06412,0,0
0,0,0.300000,16,0,8,7.25172,7.25172,2.01666,0,0
0,0,0.300000,512,1,8,3.10085,3.10085,2.07038,0,0
0,1,0.200000,64,0,4,4.05534,4.05534,2.00461,0,0
0,0,0.300000,32,0,4,5.43843,5.43843,1.98073,0,0
0,1,0.100000,16,1,8,6.83325,6.83325,2.09368,0,0
1,1,0.100000,256,0,8,1.95527,1.95527,1.96212,0,0
1,1,0.100000,16,0,8,5.90393,5.90393,1.99893,0,0
0,0,0.300000,256,0,8,3.06601,3.06601,1.99679,0,0
0,0,0.200000,256,0,4,3.04456,3.04456,1.95933,0,0
1,0,0.100000,128,0,4,2.42129,2.42129,1.99774,0,0
1,1,0.300000,32,1,8,4.06819,4.06819,2.07679,0,0
1,1,0.300000,64,0,4,3.09149,3.09149,2.01647,0,0
1,1,0.200000,256,1,8,1.93685,1.93685,2.04995,0,0
1,1,0.200000,128,1,8,2.34091,2.34091,2.0918,0,0
0,0,0.300000,128,1,8,3.41243,3.41243,2.06075,0,0
1,0,0.100000,16,0,4,6.30506,6.30506,2.01103,0,0
1,1,0.300000,64,1,4,3.06081,3.06081,2.06927,0,0
1,1,0.300000,16,1,4,5.62953,5.62953,2.08153,0,0
0,0,0.100000,32,0,4,5.23003,5.23003,1.97355,0,0
1,1,0.100000,512,0,4,1.67385,1.67385,1.99031,0,0
1,1,0.300000,512,1,8,1.82692,1.82692,2.06657,0,0
0,0,0.200000,32,0,4,5.40522,5.40522,1.94258,0,0
0,1,0.200000,256,0,4,3.12341,3.12341,1.99302,0,0
0,0,0.200000,128,0,8,3.47274,3.47274,2.02727,0,0
0,0,0.200000,64,1,8,4.02818,4.02818,2.06446,0,0
1,1,0.300000,128,1,4,2.34481,2.34481,2.06471,0,0
1,0,0.200000,512,1,8,1.8562,1.8562,2.08387,0,0
1,0,0.200000,128,0,4,2.45041,2.45041,2.00328,0,0
1,1,0.100000,16,1,8,5.64149,5.64149,2.1251,0,0
1,0,0.300000,128,1,4,2.20022,2.20022,2.06962,0,0
0,1,0.100000,128,0,4,3.35469,3.35469,1.97188,0,0
0,0,0.100000,512,1,4,2.99085,2.99085,2.05167,0,0
0,0,0.200000,512,1,8,2.9765,2.9765,2.04815,0,0
1,0,0.100000,512,1,4,1.76567,1.76567,2.07153,0,0
0,1,0.100000,64,0,8,4.03956,4.03956,1.9862,0,0
1,0,0.200000,16,1,4,5.23157,5.23157,2.05621,0,0
0,0,0.300000,64,0,8,4.11323,4.11323,1.99008,0,0
0,1,0.200000,16,0,4,7.10207,7.10207,1.96817,0,0
0,0,0.100000,128,0,4,3.52679,3.52679,1.98106,0,0
0,1,0.100000,256,0,8,3.11925,3.11925,1.97277,0,0
1,0,0.100000,512,0,4,1.70114,1.70114,1.96611,0,0
0,1,0.100000,256,1,8,3.14728,3.14728,2.08572,0,0
1,1,0.100000,256,1,4,1.92136,1.92136,2.06907,0,0
1,1,0.300000,128,0,4,2.39313,2.39313,1.9873,0,0
0,0,0.100000,512,0,8,2.99226,2.99226,1.98678,0,0
1,0,0.200000,32,0,4,4.37369,4.37369,1.93594,0,0
1,0,0.200000,16,0,4,6.23267,6.23267,2.02321,0,0
0,0,0.100000,128,1,4,3.45926,3.45926,2.52499,0,0
