SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,7.17545,7.17545,1.98306,0,0
0,0,0.100000,32,0,4,5.24005,5.24005,1.93429,0,0
0,1,0.100000,16,0,4,6.92214,6.92214,2.02458,0,0
0,0,0.100000,16,1,4,6.54402,6.54402,2.08321,0,0
0,0,0.200000,16,0,4,7.11947,7.11947,1.99867,0,0
1,0,0.100000,16,0,4,6.03869,6.03869,1.99296,0,0
0,0,0.100000,64,0,4,5.04311,5.04311,1.97875,0,0
0,1,0.100000,32,0,4,5.09129,5.09129,1.9462,0,0
0,0,0.100000,32,1,4,5.06313,5.06313,2.07818,0,0
0,0,0.200000,32,0,4,5.31037,5.31037,1.9868,0,0
1,0,0.100000,32,0,4,4.48308,4.48308,1.99372,0,0
1,0,0.100000,64,0,4,4.20602,4.20602,2.02078,0,0
1,1,0.100000,32,0,4,4.34496,4.34496,1.94872,0,0
1,0,0.100000,32,1,4,3.77936,3.77936,2.04509,0,0
1,0,0.200000,32,0,4,4.40587,4.40587,1.98352,0,0
1,0,0.100000,64,1,4,3.69894,3.69894,2.05907,0,0
1,0,0.100000,16,1,4,5.29269,5.29269,2.06131,0,0
1,1,0.100000,32,1,4,4.19277,4.19277,2.08005,0,0
1,0,0.200000,32,1,4,3.9095,3.9095,2.06506,0,0
1,0,0.100000,128,1,4,2.91833,2.91833,2.0784,0,0
1,1,0.100000,64,1,4,3.82535,3.82535,2.09178,0,0
1,0,0.200000,64,1,4,3.7334,3.7334,2.07704,0,0
0,0,0.100000,64,1,4,5.06342,5.06342,2.05568,0,0
1,0,0.100000,256,1,4,2.01722,2.01722,2.0773,0,0
1,1,0.100000,128,1,4,2.99114,2.99114,2.08562,0,0
1,0,0.100000,128,0,4,3.53898,3.53898,1.97931,0,0
1,0,0.200000,128,1,4,2.99297,2.99297,2.06536,0,0
0,0,0.100000,128,1,4,4.06417,4.06417,2.09145,0,0
1,0,0.100000,512,1,4,1.78119,1.78119,2.06492,0,0
1,1,0.100000,256,1,4,2.03706,2.03706,2.05613,0,0
1,0,0.100000,256,0,4,2.48752,2.48752,1.9788,0,0
1,0,0.200000,256,1,4,2.0158,2.0158,2.05281,0,0
0,0,0.100000,256,1,4,3.29939,3.29939,2.05657,0,0
1,1,0.100000,512,1,4,1.81494,1.81494,2.06351,0,0
1,0,0.100000,512,0,4,1.85823,1.85823,1.96864,0,0
1,0,0.200000,512,1,4,1.81671,1.81671,2.05101,0,0
0,0,0.100000,512,1,4,3.07128,3.07128,2.05211,0,0
