SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,3.01486,3.01486,1.62778,0,0
0,0,0.100000,32,0,4,3.32945,3.32945,1.61951,0,0
0,0,0.100000,64,0,4,3.41407,3.41407,1.6257,0,0
0,0,0.100000,128,0,4,3.18518,3.18518,1.57387,0,0
0,0,0.100000,256,0,4,2.8736,2.8736,1.60195,0,0
0,0,0.100000,512,0,4,2.70478,2.70478,1.58778,0,0
0,1,0.100000,512,0,4,2.68332,2.68332,1.56223,0,0
0,1,0.100000,512,1,4,2.59543,2.59543,1.64924,0,0
0,1,0.200000,512,1,4,2.63638,2.63638,1.67275,0,0
0,1,0.300000,512,1,4,2.68084,2.68084,1.61257,0,0
1,1,0.100000,512,1,4,1.48965,1.48965,1.65368,0,0
1,1,0.100000,16,1,4,1.86777,1.86777,1.64352,0,0
1,1,0.100000,32,1,4,1.57794,1.57794,1.69157,0,0
1,1,0.100000,64,1,4,1.81857,1.81857,1.66171,0,0
1,1,0.100000,128,1,4,1.6866,1.6866,1.6542,0,0
1,1,0.100000,256,1,4,1.44615,1.44615,1.63355,0,0
1,0,0.100000,256,1,4,1.53041,1.53041,1.66738,0,0
1,1,0.100000,256,0,4,1.42088,1.42088,1.61113,0,0
1,1,0.200000,256,0,4,1.41633,1.41633,1.55847,0,0
1,1,0.300000,256,0,4,1.41253,1.41253,1.55453,0,0
0,1,0.300000,256,0,4,2.84442,2.84442,1.59561,0,0
1,1,0.300000,16,0,4,1.51927,1.51927,1.59003,0,0
1,1,0.300000,32,0,4,1.6335,1.6335,1.58924,0,0
1,1,0.300000,64,0,4,1.69672,1.69672,1.52551,0,0
1,1,0.300000,128,0,4,1.55593,1.55593,1.5574,0,0
1,1,0.300000,512,0,4,1.3291,1.3291,1.58423,0,0
1,0,0.300000,512,0,4,1.34462,1.34462,1.60264,0,0
1,1,0.300000,512,1,4,1.32329,1.32329,1.67426,0,0
1,1,0.200000,512,1,4,1.32042,1.32042,1.69531,0,0
1,1,0.200000,16,1,4,1.8049,1.8049,1.66542,0,0
1,1,0.200000,32,1,4,1.58533,1.58533,1.70261,0,0
1,1,0.200000,64,1,4,1.8313,1.8313,1.61849,0,0
1,1,0.200000,128,1,4,1.68088,1.68088,1.63807,0,0
1,1,0.200000,256,1,4,1.44168,1.44168,1.63804,0,0
1,0,0.200000,512,1,4,1.40787,1.40787,1.6276,0,0
1,1,0.200000,512,0,4,1.33834,1.33834,1.59218,0,0
