SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.300000,32,1,8,1.8002,1.8002,1.60997,0,0
1,0,0.200000,16,0,8,1.61561,1.61561,1.57678,0,0
0,1,0.100000,32,0,4,3.29064,3.29064,1.55892,0,0
0,1,0.200000,512,0,4,2.68924,2.68924,1.59808,0,0
1,0,0.200000,256,0,8,1.44264,1.44264,1.56834,0,0
0,1,0.100000,512,0,8,2.71045,2.71045,1.61543,0,0
0,0,0.100000,512,1,4,2.71692,2.71692,1.65407,0,0
0,1,0.200000,256,1,8,2.84706,2.84706,1.64121,0,0
1,0,0.100000,64,0,4,1.73336,1.73336,1.60792,0,0
0,1,0.300000,64,0,8,3.43026,3.43026,1.54832,0,0
0,0,0.200000,64,0,8,3.43602,3.43602,1.60323,0,0
0,1,0.200000,16,0,4,3.04059,3.04059,1.61117,0,0
0,1,0.200000,32,0,8,3.31648,3.31648,1.58978,0,0
1,0,0.100000,16,1,4,1.86584,1.86584,1.6807,0,0
1,0,0.100000,32,0,8,1.79731,1.79731,1.57181,0,0
1,1,0.300000,512,0,8,1.31629,1.31629,1.57363,0,0
1,1,0.200000,32,1,8,1.83209,1.83209,1.6162,0,0
1,1,0.100000,128,1,4,1.68144,1.68144,1.6903,0,0
0,0,0.300000,16,0,8,2.98991,2.98991,1.62252,0,0
1,0,0.200000,512,1,8,1.38503,1.38503,1.67452,0,0
1,0,0.200000,32,0,4,1.78577,1.78577,1.60304,0,0
0,0,0.200000,16,1,8,3.1191,3.1191,1.67088,0,0
0,1,0.300000,256,1,4,2.8307,2.8307,1.64709,0,0
1,1,0.100000,16,1,4,2.04876,2.04876,1.6964,0,0
1,1,0.200000,512,1,4,1.33852,1.33852,1.66618,0,0
0,0,0.200000,256,0,4,2.86708,2.86708,1.57588,0,0
0,1,0.200000,64,1,8,3.32351,3.32351,1.65352,0,0
0,0,0.100000,32,1,8,3.07989,3.07989,1.65352,0,0
1,1,0.300000,128,0,4,1.55829,1.55829,1.54863,0,0
1,0,0.100000,64,1,8,1.84151,1.84151,1.6224,0,0
1,1,0.100000,512,0,4,1.31894,1.31894,1.54783,0,0
1,1,0.100000,32,1,8,1.82773,1.82773,1.64131,0,0
0,0,0.200000,128,0,4,3.16947,3.16947,1.59179,0,0
0,1,0.100000,256,0,4,2.86061,2.86061,1.57502,0,0
0,1,0.300000,512,1,4,2.61856,2.61856,1.66601,0,0
1,1,0.100000,64,1,4,1.83362,1.83362,1.66594,0,0
1,0,0.200000,16,1,4,1.84588,1.84588,1.63849,0,0
0,1,0.300000,512,0,8,2.67005,2.67005,1.56616,0,0
0,0,0.100000,128,1,8,3.07209,3.07209,1.58527,0,0
0,1,0.300000,128,1,8,3.07837,3.07837,1.68031,0,0
0,0,0.100000,64,0,8,3.43831,3.43831,1.56838,0,0
1,1,0.300000,64,0,4,1.71217,1.71217,1.54312,0,0
1,1,0.200000,16,0,4,1.6436,1.6436,1.57531,0,0
1,0,0.100000,128,0,8,1.57688,1.57688,1.5701,0,0
0,1,0.100000,16,1,4,3.19238,3.19238,1.65481,0,0
1,1,0.300000,256,0,8,1.41944,1.41944,1.60976,0,0
1,0,0.200000,64,0,4,1.73387,1.73387,1.57632,0,0
0,0,0.200000,16,0,8,3.01724,3.01724,1.58239,0,0
0,0,0.200000,512,1,8,2.66795,2.66795,1.66703,0,0
1,0,0.200000,256,1,4,1.50354,1.50354,1.6169,0,0
1,1,0.200000,128,1,8,1.68911,1.68911,1.63003,0,0
0,1,0.200000,16,1,4,3.10337,3.10337,1.68124,0,0
1,1,0.300000,16,0,4,1.65995,1.65995,1.5667,0,0
1,0,0.200000,64,1,8,1.84096,1.84096,1.63975,0,0
0,1,0.100000,128,1,4,3.0547,3.0547,1.60374,0,0
0,0,0.100000,512,0,8,2.69778,2.69778,1.5615,0,0
1,0,0.200000,512,0,8,1.3416,1.3416,1.59093,0,0
0,0,0.300000,16,1,8,3.13198,3.13198,1.6234,0,0
1,0,0.100000,256,0,8,1.46548,1.46548,1.57059,0,0
0,1,0.100000,64,1,4,3.32462,3.32462,1.68792,0,0
1,1,0.100000,128,0,8,1.55625,1.55625,1.56464,0,0
1,1,0.100000,64,0,8,1.70623,1.70623,1.54652,0,0
0,1,0.300000,16,1,4,3.14864,3.14864,1.66683,0,0
0,1,0.100000,512,1,8,2.68182,2.68182,1.64798,0,0
1,0,0.300000,128,0,4,1.60975,1.60975,1.58425,0,0
1,0,0.300000,16,0,8,1.61478,1.61478,1.60143,0,0
1,1,0.100000,16,0,8,1.65005,1.65005,1.59656,0,0
0,0,0.300000,64,0,4,3.43733,3.43733,1.55133,0,0
1,0,0.300000,32,0,4,1.77922,1.77922,1.62232,0,0
1,0,0.100000,256,1,8,1.50642,1.50642,1.69784,0,0
0,0,0.300000,256,0,8,2.84848,2.84848,1.56409,0,0
0,0,0.100000,256,1,8,2.81616,2.81616,1.65499,0,0
0,0,0.100000,128,0,4,3.17211,3.17211,1.58209,0,0
1,1,0.200000,32,0,4,1.79447,1.79447,1.75584,0,0
0,0,0.200000,32,0,8,3.39166,3.39166,1.59378,0,0
