SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.300000,32,1,8,1.53133,1.53133,1.63577,0,0
1,1,0.300000,64,1,8,1.36141,1.36141,1.63138,0,0
1,1,0.300000,16,1,8,1.79555,1.79555,1.62513,0,0
1,0,0.300000,32,1,8,1.5038,1.5038,1.60654,0,0
0,1,0.300000,32,1,8,2.954,2.954,1.60883,0,0
1,1,0.300000,32,0,8,1.30703,1.30703,1.5772,0,0
1,1,0.200000,32,1,8,1.50333,1.50333,1.59384,0,0
1,1,0.300000,64,0,8,1.22935,1.22935,1.5262,0,0
1,1,0.300000,16,0,8,1.49604,1.49604,1.58249,0,0
1,0,0.300000,32,0,8,1.32966,1.32966,1.57334,0,0
0,1,0.300000,32,0,8,2.65542,2.65542,1.55464,0,0
1,1,0.200000,32,0,8,1.31883,1.31883,1.55744,0,0
1,1,0.300000,128,0,8,1.26369,1.26369,1.54391,0,0
1,0,0.300000,64,0,8,1.25557,1.25557,1.61308,0,0
0,1,0.300000,64,0,8,2.53451,2.53451,1.55877,0,0
1,1,0.200000,64,0,8,1.22294,1.22294,1.51485,0,0
1,1,0.200000,128,0,8,1.24795,1.24795,1.52558,0,0
1,0,0.200000,64,0,8,1.24203,1.24203,1.55886,0,0
0,1,0.200000,64,0,8,2.61421,2.61421,1.55733,0,0
1,1,0.200000,64,1,8,1.36355,1.36355,1.62356,0,0
1,1,0.100000,64,0,8,1.23037,1.23037,1.54538,0,0
