SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,3.17624,3.17624,1.70693,0,0
0,0,0.100000,32,0,4,3.1193,3.1193,1.56055,0,0
0,0,0.100000,64,0,4,3.34854,3.34854,1.5827,0,0
0,0,0.100000,128,0,4,3.16706,3.16706,1.5293,0,0
0,0,0.100000,256,0,4,2.87577,2.87577,1.58798,0,0
0,0,0.100000,512,0,4,2.71127,2.71127,1.57391,0,0
0,1,0.100000,512,0,4,2.72875,2.72875,1.62326,0,0
1,0,0.100000,512,0,4,1.34372,1.34372,1.59064,0,0
1,0,0.100000,512,1,4,1.53454,1.53454,1.64391,0,0
1,0,0.200000,512,0,4,1.34074,1.34074,1.58303,0,0
1,0,0.300000,512,0,4,1.34168,1.34168,1.56938,0,0
1,0,0.200000,16,0,4,1.749,1.749,1.63444,0,0
1,0,0.200000,32,0,4,1.52835,1.52835,1.641,0,0
1,0,0.200000,64,0,4,1.7202,1.7202,1.60882,0,0
1,0,0.200000,128,0,4,1.61335,1.61335,1.59374,0,0
1,0,0.200000,256,0,4,1.44489,1.44489,1.56194,0,0
1,1,0.200000,512,0,4,1.3213,1.3213,1.60152,0,0
0,1,0.200000,512,0,4,2.66852,2.66852,1.55176,0,0
1,1,0.200000,512,1,4,1.32113,1.32113,1.67292,0,0
1,1,0.100000,512,1,4,1.33119,1.33119,1.67988,0,0
1,1,0.300000,512,1,4,1.41666,1.41666,1.6604,0,0
1,1,0.200000,16,1,4,1.88411,1.88411,1.68161,0,0
1,1,0.200000,32,1,4,1.64209,1.64209,1.6523,0,0
1,1,0.200000,64,1,4,1.83255,1.83255,1.65053,0,0
1,1,0.200000,128,1,4,1.68052,1.68052,1.6725,0,0
1,1,0.200000,256,1,4,1.44507,1.44507,1.67479,0,0
1,0,0.200000,512,1,4,1.40748,1.40748,1.65027,0,0
0,1,0.200000,512,1,4,2.61841,2.61841,1.65691,0,0
