SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.100000,16,0,4,6.67074,6.67074,1.86305,0,0
1,0,0.100000,32,0,4,5.26844,5.26844,1.84759,0,0
1,0,0.100000,64,0,4,4.43447,4.43447,1.81708,0,0
1,0,0.100000,128,0,4,3.56011,3.56011,1.824,0,0
1,0,0.100000,256,0,4,3.09613,3.09613,1.82316,0,0
1,0,0.100000,512,0,4,3.0379,3.0379,1.83289,0,0
1,1,0.100000,512,0,4,3.03461,3.03461,1.83323,0,0
0,1,0.100000,512,0,4,5.76035,5.76035,1.8011,0,0
1,1,0.100000,512,1,4,3.26122,3.26122,1.92582,0,0
1,1,0.200000,512,0,4,2.97105,2.97105,1.83268,0,0
1,1,0.300000,512,0,4,2.96279,2.96279,1.81877,0,0
1,1,0.300000,16,0,4,8.26863,8.26863,1.82484,0,0
1,1,0.300000,32,0,4,6.33757,6.33757,1.8286,0,0
1,1,0.300000,64,0,4,4.63515,4.63515,1.83785,0,0
1,1,0.300000,128,0,4,3.66184,3.66184,1.82289,0,0
1,1,0.300000,256,0,4,3.1787,3.1787,1.83114,0,0
1,0,0.300000,512,0,4,3.0486,3.0486,1.84255,0,0
0,1,0.300000,512,0,4,5.75444,5.75444,1.82779,0,0
1,1,0.300000,512,1,4,3.17795,3.17795,1.92131,0,0
