SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,1,0.300000,16,0,4,6.74176,6.74176,1.84165,0,0
0,1,0.200000,512,1,8,5.75154,5.75154,1.89619,0,0
1,1,0.300000,64,1,4,4.03907,4.03907,1.93038,0,0
0,0,0.200000,256,0,8,5.9306,5.9306,1.82126,0,0
1,1,0.200000,64,1,8,3.99815,3.99815,1.92417,0,0
0,1,0.100000,32,1,4,7.6334,7.6334,1.88623,0,0
1,1,0.200000,512,0,8,3.00767,3.00767,1.83178,0,0
0,1,0.100000,512,0,4,5.73448,5.73448,1.82934,0,0
1,1,0.100000,512,0,8,2.96972,2.96972,1.8202,0,0
0,1,0.100000,64,0,4,6.64511,6.64511,1.83344,0,0
1,1,0.100000,64,1,8,4.01521,4.01521,1.9173,0,0
1,1,0.300000,256,0,4,3.08367,3.08367,1.80484,0,0
1,0,0.200000,128,0,8,3.30548,3.30548,1.80884,0,0
1,0,0.100000,64,1,8,4.01781,4.01781,1.90809,0,0
0,1,0.100000,16,1,8,8.85301,8.85301,1.89952,0,0
1,1,0.100000,32,0,8,5.07809,5.07809,1.81256,0,0
0,0,0.200000,16,0,8,9.26222,9.26222,1.84209,0,0
1,1,0.100000,16,0,4,6.71351,6.71351,1.83876,0,0
1,1,0.100000,32,1,4,5.08116,5.08116,1.91066,0,0
0,0,0.200000,128,0,8,6.03255,6.03255,1.82404,0,0
0,1,0.200000,128,1,4,5.99409,5.99409,1.89921,0,0
0,0,0.200000,512,0,4,5.74614,5.74614,1.81695,0,0
0,0,0.200000,16,1,8,8.95383,8.95383,1.93846,0,0
1,1,0.200000,128,0,8,3.3415,3.3415,1.80653,0,0
0,1,0.200000,64,0,4,6.6382,6.6382,1.8288,0,0
0,0,0.100000,128,1,4,6.03906,6.03906,1.90814,0,0
1,0,0.100000,256,1,4,3.28292,3.28292,1.90694,0,0
0,0,0.100000,16,1,4,8.96828,8.96828,1.90092,0,0
0,0,0.200000,64,1,4,6.44532,6.44532,1.87044,0,0
0,1,0.200000,256,0,8,5.82974,5.82974,1.80486,0,0
1,0,0.300000,64,1,4,4.00602,4.00602,1.91469,0,0
0,1,0.200000,128,0,8,6.06954,6.06954,1.80352,0,0
1,0,0.200000,64,1,4,4.04488,4.04488,1.89094,0,0
0,0,0.300000,64,1,4,6.44671,6.44671,1.91366,0,0
0,0,0.300000,512,0,4,5.78489,5.78489,1.83844,0,0
1,1,0.200000,16,1,8,7.15414,7.15414,1.91448,0,0
0,1,0.100000,128,1,8,6.03618,6.03618,1.89991,0,0
1,1,0.100000,256,1,4,3.25916,3.25916,2.20246,0,0
0,1,0.200000,64,1,4,6.64108,6.64108,1.89369,0,0
1,0,0.300000,128,1,4,3.58542,3.58542,1.92058,0,0
1,1,0.200000,64,0,8,4.29199,4.29199,1.79889,0,0
1,0,0.200000,128,1,4,3.62123,3.62123,1.91351,0,0
1,0,0.300000,512,0,8,3.01013,3.01013,1.84285,0,0
1,1,0.300000,32,0,4,5.66587,5.66587,1.80051,0,0
0,1,0.100000,512,1,4,5.76803,5.76803,1.89971,0,0
1,1,0.300000,64,0,8,4.30156,4.30156,1.83898,0,0
0,0,0.200000,32,0,8,8.15894,8.15894,1.82739,0,0
1,1,0.100000,512,1,8,3.11535,3.11535,1.90745,0,0
0,0,0.300000,32,0,8,8.17189,8.17189,1.82258,0,0
1,1,0.100000,128,0,4,3.48516,3.48516,1.82028,0,0
1,1,0.200000,16,0,8,7.36098,7.36098,1.83443,0,0
1,1,0.300000,16,1,8,7.17547,7.17547,1.92795,0,0
1,0,0.100000,256,0,8,3.15945,3.15945,1.82586,0,0
0,1,0.300000,64,1,4,6.6576,6.6576,1.89588,0,0
0,0,0.100000,64,0,4,6.81874,6.81874,1.81918,0,0
0,1,0.300000,16,1,4,9.47863,9.47863,1.92986,0,0
0,1,0.200000,32,0,8,8.11609,8.11609,1.80683,0,0
0,0,0.100000,512,0,8,5.76766,5.76766,1.82435,0,0
0,1,0.100000,16,0,8,9.97058,9.97058,1.84645,0,0
0,1,0.200000,32,1,8,8.01068,8.01068,1.8978,0,0
1,0,0.300000,32,1,8,5.40906,5.40906,1.92156,0,0
1,0,0.200000,32,0,4,5.47719,5.47719,1.83196,0,0
0,1,0.200000,16,1,4,9.47657,9.47657,1.90488,0,0
0,1,0.300000,128,1,8,6.08903,6.08903,1.88955,0,0
1,0,0.200000,256,0,8,3.0932,3.0932,1.81847,0,0
1,1,0.100000,16,1,8,6.59755,6.59755,1.927,0,0
1,1,0.100000,64,0,8,3.98578,3.98578,1.8195,0,0
1,0,0.300000,256,1,8,3.2354,3.2354,1.88192,0,0
0,1,0.300000,64,0,8,6.70406,6.70406,1.8232,0,0
1,0,0.100000,32,0,4,5.11184,5.11184,1.82708,0,0
0,0,0.300000,512,1,8,5.7547,5.7547,1.86781,0,0
1,0,0.200000,16,0,4,6.74151,6.74151,1.8499,0,0
1,1,0.100000,128,1,4,3.52951,3.52951,1.91769,0,0
