SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
1,0,0.200000,256,1,8,3.22892,3.22892,1.89247,0,0
1,0,0.200000,512,1,8,3.1205,3.1205,1.90648,0,0
1,0,0.200000,128,1,8,3.51589,3.51589,1.89485,0,0
1,1,0.200000,256,1,8,3.27004,3.27004,1.92389,0,0
0,0,0.200000,256,1,8,5.82517,5.82517,1.90291,0,0
1,0,0.200000,256,0,8,3.14107,3.14107,1.82773,0,0
1,0,0.300000,256,1,8,3.23918,3.23918,1.90012,0,0
1,0,0.100000,256,1,8,3.24293,3.24293,1.91,0,0
1,1,0.200000,512,1,8,3.14202,3.14202,1.93054,0,0
0,0,0.200000,512,1,8,5.7263,5.7263,1.89179,0,0
1,0,0.200000,512,0,8,3.0552,3.0552,1.8363,0,0
1,0,0.300000,512,1,8,3.16852,3.16852,1.89401,0,0
1,0,0.100000,512,1,8,3.13717,3.13717,1.92163,0,0
1,1,0.200000,512,0,8,2.96994,2.96994,1.82007,0,0
0,0,0.200000,512,0,8,5.7766,5.7766,1.82393,0,0
1,0,0.300000,512,0,8,3.01828,3.01828,1.82242,0,0
1,0,0.100000,512,0,8,3.02173,3.02173,1.81755,0,0
1,1,0.200000,256,0,8,3.14758,3.14758,1.84555,0,0
0,1,0.200000,512,0,8,5.74114,5.74114,1.82448,0,0
1,1,0.300000,512,0,8,2.95078,2.95078,1.83467,0,0
1,1,0.100000,512,0,8,3.02256,3.02256,1.81139,0,0
1,1,0.300000,256,0,8,3.18073,3.18073,1.82012,0,0
0,1,0.300000,512,0,8,5.74871,5.74871,1.82034,0,0
1,1,0.300000,512,1,8,3.16909,3.16909,1.89509,0,0
