SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.200000,16,1,8,6.52348,6.52348,1.52913,0,0
0,0,0.200000,32,1,8,5.75045,5.75045,1.53034,0,0
0,0,0.200000,64,1,8,5.4657,5.4657,1.52747,0,0
0,0,0.200000,128,1,8,5.34903,5.34903,1.52657,0,0
0,0,0.200000,256,1,8,5.28625,5.28625,1.53314,0,0
0,0,0.200000,512,1,8,5.18499,5.18499,1.50949,0,0
0,1,0.200000,512,1,8,5.24129,5.24129,1.52319,0,0
1,0,0.200000,512,1,8,2.60647,2.60647,1.52721,0,0
1,0,0.200000,512,0,8,2.49591,2.49591,1.44702,0,0
1,0,0.100000,512,0,8,2.50477,2.50477,1.45853,0,0
1,0,0.300000,512,0,8,2.49369,2.49369,1.46546,0,0
1,0,0.300000,16,0,8,3.11976,3.11976,1.46845,0,0
1,0,0.300000,32,0,8,2.73864,2.73864,1.42747,0,0
1,0,0.300000,64,0,8,2.68624,2.68624,1.44616,0,0
1,0,0.300000,128,0,8,2.56495,2.56495,1.44966,0,0
1,0,0.300000,256,0,8,2.51636,2.51636,1.46661,0,0
1,1,0.300000,512,0,8,2.52195,2.52195,1.46226,0,0
0,0,0.300000,512,0,8,5.32369,5.32369,1.45821,0,0
1,0,0.300000,512,1,8,2.61566,2.61566,1.54174,0,0
