SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,256,0,4,5.29255,5.29255,1.43508,0,0
1,1,0.300000,64,1,4,2.84501,2.84501,1.54054,0,0
1,1,0.200000,64,1,8,2.80485,2.80485,1.53235,0,0
1,1,0.100000,256,1,8,2.61136,2.61136,1.50546,0,0
0,1,0.200000,512,1,4,5.27217,5.27217,1.52231,0,0
1,1,0.300000,16,1,8,3.82543,3.82543,1.55935,0,0
1,1,0.200000,128,1,4,2.63249,2.63249,1.52358,0,0
0,0,0.100000,512,0,4,5.29473,5.29473,1.45275,0,0
1,1,0.200000,16,1,8,3.82799,3.82799,1.55391,0,0
1,1,0.200000,128,0,8,2.5071,2.5071,1.44407,0,0
1,1,0.200000,512,1,8,2.58637,2.58637,1.53374,0,0
1,1,0.200000,64,0,8,2.5697,2.5697,1.45496,0,0
1,1,0.200000,256,0,4,2.48256,2.48256,1.46256,0,0
0,0,0.300000,32,1,4,5.83771,5.83771,1.5116,0,0
0,0,0.100000,128,0,4,5.30898,5.30898,1.45321,0,0
0,1,0.300000,256,0,4,5.29572,5.29572,1.44698,0,0
1,1,0.300000,16,0,8,3.15433,3.15433,1.47431,0,0
0,1,0.100000,64,0,4,5.4018,5.4018,1.46062,0,0
1,0,0.200000,32,1,4,3.15711,3.15711,1.53157,0,0
0,0,0.200000,512,1,4,5.15826,5.15826,1.51425,0,0
1,0,0.200000,128,0,4,2.48371,2.48371,1.44166,0,0
0,0,0.300000,256,1,4,5.17635,5.17635,1.51229,0,0
0,0,0.200000,64,0,4,5.37073,5.37073,1.4573,0,0
0,1,0.100000,32,1,4,5.77675,5.77675,1.51695,0,0
1,1,0.200000,512,0,8,2.49029,2.49029,1.43816,0,0
0,1,0.100000,64,1,8,5.29803,5.29803,1.50456,0,0
1,0,0.200000,32,0,8,2.7295,2.7295,1.46675,0,0
1,1,0.300000,256,1,4,2.61579,2.61579,1.52988,0,0
0,1,0.100000,16,1,4,6.32495,6.32495,1.53934,0,0
0,0,0.100000,16,1,8,6.29493,6.29493,1.52644,0,0
0,0,0.100000,16,0,8,6.02079,6.02079,1.47321,0,0
0,1,0.300000,512,0,4,5.263,5.263,1.4433,0,0
0,0,0.300000,512,0,4,5.32595,5.32595,1.43263,0,0
1,0,0.200000,256,1,8,2.59977,2.59977,1.52923,0,0
1,0,0.300000,256,1,8,2.62832,2.62832,1.52858,0,0
1,1,0.200000,16,0,8,3.16019,3.16019,1.48206,0,0
0,0,0.300000,32,0,4,5.67907,5.67907,1.45277,0,0
0,0,0.200000,512,0,8,5.29091,5.29091,1.44936,0,0
0,1,0.100000,256,1,4,5.2246,5.2246,1.52245,0,0
1,0,0.100000,512,0,4,2.46717,2.46717,1.45928,0,0
1,1,0.200000,32,0,8,2.7832,2.7832,1.46395,0,0
0,1,0.100000,512,0,8,5.26366,5.26366,1.44348,0,0
0,1,0.300000,32,0,4,5.61305,5.61305,1.4631,0,0
1,0,0.200000,512,0,4,2.47031,2.47031,1.45189,0,0
1,0,0.300000,32,1,8,3.14245,3.14245,1.53831,0,0
1,1,0.100000,32,1,4,3.14249,3.14249,1.51777,0,0
0,1,0.100000,512,1,8,5.20259,5.20259,1.53617,0,0
0,1,0.300000,256,1,4,5.21943,5.21943,1.49975,0,0
1,1,0.100000,512,0,8,2.49173,2.49173,1.47028,0,0
1,1,0.100000,128,0,4,2.54434,2.54434,1.46698,0,0
0,1,0.200000,32,1,4,5.7731,5.7731,1.53865,0,0
1,1,0.100000,64,0,8,2.54841,2.54841,1.4543,0,0
0,1,0.100000,128,0,8,5.31068,5.31068,1.45183,0,0
0,0,0.200000,256,0,4,5.28766,5.28766,1.43969,0,0
0,0,0.100000,32,1,8,5.8386,5.8386,1.52625,0,0
0,1,0.200000,256,0,4,5.27515,5.27515,1.45077,0,0
0,1,0.200000,128,0,4,5.3851,5.3851,1.44152,0,0
1,1,0.100000,16,0,8,3.15852,3.15852,1.49201,0,0
1,0,0.200000,16,0,8,3.12489,3.12489,1.46576,0,0
0,0,0.200000,16,1,8,6.28835,6.28835,1.54401,0,0
1,0,0.100000,256,1,8,2.60362,2.60362,1.5229,0,0
1,0,0.100000,16,1,8,3.79184,3.79184,1.54856,0,0
1,0,0.200000,16,1,4,3.78526,3.78526,1.5537,0,0
1,1,0.300000,512,0,8,2.48895,2.48895,1.44902,0,0
1,1,0.200000,32,1,8,3.12929,3.12929,1.52711,0,0
1,0,0.100000,128,1,8,2.62701,2.62701,1.64449,0,0
0,0,0.100000,32,0,8,5.619,5.619,1.43889,0,0
1,0,0.100000,512,1,8,2.58754,2.58754,1.52084,0,0
1,1,0.300000,32,1,8,3.12808,3.12808,1.53193,0,0
