SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,5.98081,5.98081,1.46595,0,0
0,0,0.100000,32,0,4,5.59186,5.59186,1.45139,0,0
0,1,0.100000,16,0,4,6.00295,6.00295,1.48247,0,0
0,0,0.100000,16,1,4,6.36356,6.36356,1.52197,0,0
0,0,0.200000,16,0,4,5.99937,5.99937,1.46677,0,0
1,0,0.100000,16,0,4,3.10935,3.10935,1.47824,0,0
1,0,0.100000,32,0,4,2.71972,2.71972,1.45341,0,0
1,1,0.100000,16,0,4,3.16106,3.16106,1.47499,0,0
1,0,0.100000,16,1,4,3.78916,3.78916,1.53558,0,0
1,0,0.200000,16,0,4,3.10041,3.10041,1.4688,0,0
1,0,0.100000,64,0,4,2.53719,2.53719,1.45891,0,0
1,1,0.100000,32,0,4,2.75187,2.75187,1.43519,0,0
1,0,0.100000,32,1,4,3.1225,3.1225,1.53618,0,0
1,0,0.200000,32,0,4,2.72047,2.72047,1.49444,0,0
1,0,0.100000,128,0,4,2.49509,2.49509,1.42642,0,0
1,1,0.100000,64,0,4,2.59418,2.59418,1.47125,0,0
1,0,0.100000,64,1,4,2.79564,2.79564,1.51513,0,0
1,0,0.200000,64,0,4,2.53407,2.53407,1.44127,0,0
0,0,0.100000,64,0,4,5.4191,5.4191,1.45625,0,0
1,0,0.100000,256,0,4,2.51242,2.51242,1.46839,0,0
1,1,0.100000,128,0,4,2.51979,2.51979,1.44483,0,0
1,0,0.100000,128,1,4,2.64191,2.64191,1.51207,0,0
1,0,0.200000,128,0,4,2.48974,2.48974,1.44223,0,0
0,0,0.100000,128,0,4,5.41232,5.41232,1.45967,0,0
1,0,0.200000,256,0,4,2.5049,2.5049,1.46438,0,0
1,1,0.200000,128,0,4,2.53598,2.53598,1.47717,0,0
1,0,0.200000,128,1,4,2.64215,2.64215,1.53618,0,0
1,0,0.300000,128,0,4,2.49004,2.49004,1.46124,0,0
0,0,0.200000,128,0,4,5.40918,5.40918,1.44628,0,0
