SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,0,0.100000,16,0,4,9.31538,9.31538,1.8381,0,0
0,0,0.100000,32,0,4,7.6829,7.6829,1.80486,0,0
0,1,0.100000,16,0,4,9.48889,9.48889,1.82071,0,0
1,0,0.100000,16,0,4,7.13277,7.13277,1.81009,0,0
0,0,0.100000,16,1,4,9.87099,9.87099,1.896,0,0
0,0,0.200000,16,0,4,10.1083,10.1083,1.81628,0,0
1,0,0.100000,32,0,4,5.62917,5.62917,1.80669,0,0
1,1,0.100000,16,0,4,7.5736,7.5736,1.81847,0,0
1,0,0.100000,16,1,4,7.63759,7.63759,1.90863,0,0
1,0,0.200000,16,0,4,7.79471,7.79471,1.81741,0,0
1,0,0.100000,64,0,4,4.38114,4.38114,1.81887,0,0
1,1,0.100000,32,0,4,6.16896,6.16896,1.81073,0,0
1,0,0.100000,32,1,4,5.88036,5.88036,1.88762,0,0
1,0,0.200000,32,0,4,5.97536,5.97536,1.81669,0,0
1,0,0.100000,128,0,4,3.56885,3.56885,1.80972,0,0
1,1,0.100000,64,0,4,4.60263,4.60263,1.80493,0,0
0,0,0.100000,64,0,4,7.04746,7.04746,1.80514,0,0
1,0,0.100000,64,1,4,4.48026,4.48026,1.88203,0,0
1,0,0.200000,64,0,4,4.47064,4.47064,1.79616,0,0
1,0,0.100000,256,0,4,3.24469,3.24469,1.81077,0,0
1,1,0.100000,128,0,4,3.91519,3.91519,1.7994,0,0
0,0,0.100000,128,0,4,6.24349,6.24349,1.79151,0,0
1,0,0.100000,128,1,4,3.79748,3.79748,1.87947,0,0
1,0,0.200000,128,0,4,3.61092,3.61092,1.80041,0,0
1,0,0.100000,512,0,4,3.00941,3.00941,1.79992,0,0
1,1,0.100000,256,0,4,3.11345,3.11345,1.7978,0,0
0,0,0.100000,256,0,4,5.91526,5.91526,1.80316,0,0
1,0,0.100000,256,1,4,3.22822,3.22822,1.89131,0,0
1,0,0.200000,256,0,4,3.13962,3.13962,1.80915,0,0
1,1,0.100000,512,0,4,2.99115,2.99115,1.79503,0,0
0,0,0.100000,512,0,4,5.79995,5.79995,1.80566,0,0
1,0,0.100000,512,1,4,3.20794,3.20794,1.89542,0,0
1,0,0.200000,512,0,4,3.07641,3.07641,1.80637,0,0
0,1,0.100000,512,0,4,5.766,5.766,1.81201,0,0
1,1,0.100000,512,1,4,3.28331,3.28331,1.89012,0,0
1,1,0.200000,512,0,4,3.0074,3.0074,1.80901,0,0
