SUBSPACEAUTOTUNETMP_ENABLE_PARTIAL_RESULT_REUSAGE,SUBSPACEAUTOTUNETMP_ENABLE_SUBSPACE_SKIPPING,SUBSPACEAUTOTUNETMP_LIST_RATIO,SUBSPACEAUTOTUNETMP_PARALLEL_DATA_POINTS,SUBSPACEAUTOTUNETMP_UNROLL,SUBSPACEAUTOTUNETMP_VEC_PADDING,kernel_s,kernel_s_raw,compile_s,par_compile_s,par_compile_count
0,1,0.200000,32,1,8,5.80968,5.80968,1.52497,0,0
1,0,0.100000,512,1,4,2.65274,2.65274,1.51108,0,0
1,1,0.200000,64,0,4,2.55829,2.55829,1.45902,0,0
0,1,0.200000,16,0,4,6.06964,6.06964,1.47431,0,0
0,1,0.200000,64,0,4,5.37383,5.37383,1.45204,0,0
0,1,0.200000,256,0,8,5.36372,5.36372,1.45708,0,0
0,0,0.200000,32,1,8,5.75412,5.75412,1.51958,0,0
1,0,0.200000,16,0,8,3.16231,3.16231,1.46933,0,0
0,0,0.300000,128,1,4,5.44864,5.44864,1.50252,0,0
0,0,0.300000,32,0,8,5.64965,5.64965,1.45469,0,0
0,1,0.100000,512,0,4,5.27548,5.27548,1.44208,0,0
0,1,0.300000,512,0,4,5.26941,5.26941,1.45641,0,0
1,1,0.200000,128,1,8,2.77663,2.77663,1.50748,0,0
0,1,0.100000,128,0,8,5.49629,5.49629,1.45081,0,0
0,0,0.100000,32,1,8,5.69246,5.69246,1.52154,0,0
0,0,0.300000,64,0,8,5.37654,5.37654,1.44834,0,0
0,0,0.300000,512,1,8,5.21738,5.21738,1.50256,0,0
1,0,0.300000,512,1,8,2.61389,2.61389,1.53668,0,0
0,1,0.100000,512,1,8,5.23436,5.23436,1.51609,0,0
1,0,0.300000,128,0,8,2.57018,2.57018,1.4551,0,0
0,0,0.100000,256,1,8,5.24199,5.24199,1.49788,0,0
0,1,0.200000,16,1,8,6.25995,6.25995,1.53934,0,0
1,1,0.100000,16,0,8,3.14579,3.14579,1.46294,0,0
1,1,0.300000,64,1,8,2.81349,2.81349,1.51764,0,0
0,1,0.200000,512,0,8,5.31845,5.31845,1.44265,0,0
0,0,0.300000,16,0,4,5.97923,5.97923,1.46509,0,0
0,0,0.300000,32,1,8,5.73292,5.73292,1.47672,0,0
0,0,0.100000,16,0,8,6.01541,6.01541,1.46304,0,0
1,1,0.200000,128,0,4,2.58667,2.58667,1.45459,0,0
1,0,0.200000,64,0,4,2.51144,2.51144,1.46678,0,0
1,0,0.300000,64,0,8,2.51118,2.51118,1.45164,0,0
1,0,0.300000,32,0,8,2.71471,2.71471,1.43771,0,0
1,0,0.300000,512,0,8,2.51207,2.51207,1.43832,0,0
1,0,0.200000,32,0,8,2.7125,2.7125,1.45411,0,0
0,0,0.200000,32,0,4,5.57003,5.57003,1.46015,0,0
1,1,0.300000,16,0,8,3.14464,3.14464,1.47833,0,0
0,1,0.200000,256,1,8,5.31699,5.31699,1.51941,0,0
0,0,0.100000,256,0,4,5.31942,5.31942,1.46119,0,0
1,0,0.300000,64,1,8,2.81637,2.81637,1.53146,0,0
1,0,0.200000,512,0,4,2.50383,2.50383,1.45206,0,0
0,1,0.300000,64,0,8,5.38962,5.38962,1.4422,0,0
1,0,0.100000,128,0,8,2.54446,2.54446,1.43663,0,0
0,1,0.100000,64,0,4,5.40446,5.40446,1.45997,0,0
0,0,0.300000,256,1,8,5.30698,5.30698,1.5031,0,0
1,0,0.200000,128,1,8,2.77254,2.77254,1.52401,0,0
0,1,0.100000,128,1,4,5.38656,5.38656,1.51808,0,0
1,0,0.200000,256,0,4,2.5597,2.5597,1.4666,0,0
0,0,0.200000,128,0,4,5.43856,5.43856,1.45772,0,0
1,0,0.300000,16,1,4,3.83671,3.83671,1.55784,0,0
1,1,0.300000,256,1,8,2.6989,2.6989,1.52449,0,0
1,1,0.100000,32,0,8,2.78926,2.78926,1.45054,0,0
1,0,0.100000,16,0,4,3.12901,3.12901,1.47776,0,0
1,1,0.300000,64,0,4,2.57767,2.57767,1.45422,0,0
1,1,0.200000,32,1,8,3.14764,3.14764,1.52048,0,0
1,0,0.300000,128,1,4,2.78353,2.78353,1.51209,0,0
0,0,0.100000,128,1,4,5.37724,5.37724,1.5176,0,0
1,1,0.300000,128,1,4,2.74878,2.74878,1.5297,0,0
0,0,0.200000,512,0,4,5.33113,5.33113,1.43799,0,0
1,0,0.100000,16,1,8,3.78623,3.78623,1.54517,0,0
0,1,0.300000,32,0,4,5.61068,5.61068,1.43894,0,0
1,1,0.100000,16,1,4,3.82898,3.82898,1.73165,0,0
0,1,0.100000,32,0,4,5.591,5.591,1.43653,0,0
1,1,0.200000,32,0,4,2.80173,2.80173,1.45947,0,0
1,0,0.200000,256,1,8,2.67534,2.67534,1.51501,0,0
0,0,0.200000,128,1,4,5.44914,5.44914,1.66917,0,0
